,kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,pagemap.metatags,pagemap.Item,pagemap.cse_thumbnail,pagemap.cse_image
0,customsearch#result,Thông báo kỳ thi tuyển công chức vào làm việc tại các cơ quan của ...,Thông báo kỳ thi <b>tuyển</b> công chức vào làm việc tại các cơ quan của ...,https://mt.gov.vn/vn/tin-tuc/88537/thong-bao-ky-thi-tuyen-cong-chuc-vao-lam-viec-tai-cac-co-quan-cua-bo-giao-thong-van-tai-.aspx,mt.gov.vn,"May 29, 2023 ... ... tuyển trong một kỳ tuyển dụng tiếp theo. 8. Phí tuyển dụng: Căn cứ ... 2024 (15/01/2024) · Danh sách các cơ sở đào tạo đã được cấp giấy ...","May 29, 2023 <b>...</b> ... tuyển trong một kỳ <b>tuyển dụng</b> tiếp theo. 8. Phí <b>tuyển dụng</b>: Căn cứ ... <b>2024</b> (15/01/<b>2024</b>) &middot; Danh sách các cơ sở đào tạo đã được cấp giấy&nbsp;...",https://mt.gov.vn/.../thong-bao-ky-thi-tuyen-cong-chuc-vao-lam-viec-tai-ca...,https://mt.gov.vn/.../thong-bao-ky-thi-tuyen-cong-chuc-vao-lam-viec-tai-ca...,[{'progid': 'SharePoint.WebPartPage.Document'}],,,
1,customsearch#result,Phó Cục trưởng Cục Hàng hải Việt Nam gặp mặt và trao Quyết định ...,Phó Cục trưởng Cục Hàng hải Việt Nam gặp mặt và trao Quyết định ...,https://vinamarine.mt.gov.vn/vi/tin-tuc/pho-cuc-truong-cuc-hang-hai-viet-nam-gap-mat-va-trao-quyet-dinh-tuyen-dung-cho-cac-cong-chuc,vinamarine.mt.gov.vn,"Apr 12, 2024 ... Phó Cục trưởng Cục Hàng hải Việt Nam gặp mặt và trao Quyết định tuyển dụng cho các công chức mới năm 2024 ... Vào ngày (11/4/2023), tại trụ sở Cục ...","Apr 12, 2024 <b>...</b> Phó Cục trưởng Cục Hàng hải Việt Nam gặp mặt và trao Quyết định <b>tuyển dụng</b> cho các công chức mới năm <b>2024</b> ... Vào ngày (11/4/2023), tại trụ sở Cục&nbsp;...",https://vinamarine.mt.gov.vn/.../pho-cuc-truong-cuc-hang-hai-viet-nam-ga...,https://vinamarine.mt.gov.vn/.../pho-cuc-truong-cuc-hang-hai-viet-nam-ga...,"[{'viewport': 'width=device-width, initial-scale=1.0'}]","[{'num_replies': '0', 'title': 'Phó Cục trưởng Cục Hàng hải Việt Nam gặp mặt và trao Quyết định tuyển dụng cho các công chức mới năm 2024', 'encoded': 'Vào ngày (11/4/2023), tại trụ sở Cục Hàng hải Việt Nam, Phó Cục trưởng Hoàng Hồng Giang chủ trì buổi gặp mặt và trao quyết định tuyển dụng, phân...'}]",,
2,customsearch#result,Thông báo kết quả kỳ thi tuyển công chức của Bộ Giao thông vận tải ...,Thông báo kết quả kỳ thi <b>tuyển</b> công chức của Bộ Giao thông vận tải ...,https://mt.gov.vn/vn/tin-tuc/89819/thong-bao-ket-qua-ky-thi-tuyen-cong-chuc-cua-bo-giao-thong-van-tai-nam-2023-.aspx,mt.gov.vn,"Sep 15, 2023 ... b) Trường hợp người trúng tuyển không hoàn thiện đủ hồ sơ tuyển dụng ... 2024 (15/01/2024) · Danh sách các cơ sở đào tạo đã được cấp giấy ...","Sep 15, 2023 <b>...</b> b) Trường hợp người trúng tuyển không hoàn thiện đủ hồ sơ <b>tuyển dụng</b> ... <b>2024</b> (15/01/<b>2024</b>) &middot; Danh sách các cơ sở đào tạo đã được cấp giấy&nbsp;...",https://mt.gov.vn/.../thong-bao-ket-qua-ky-thi-tuyen-cong-chuc-cua-bo-gia...,https://mt.gov.vn/.../thong-bao-ket-qua-ky-thi-tuyen-cong-chuc-cua-bo-gia...,[{'progid': 'SharePoint.WebPartPage.Document'}],,,
3,customsearch#result,"Thông báo danh sách thí sinh không đủ điều kiện, tiêu chuẩn dự thi ...","Thông báo danh sách thí sinh không đủ điều kiện, tiêu chuẩn dự thi ...",https://mt.gov.vn/vn/tin-tuc/89410/thong-bao-danh-sach-thi-sinh-khong-du-dieu-kien--tieu-chuan-du-thi-vong-1-ky-thi-tuyen-dung-cong-chuc.aspx,mt.gov.vn,"Aug 14, 2023 ... Thông báo danh sách thí sinh không đủ điều kiện, tiêu chuẩn dự thi vòng 1 kỳ thi tuyển dụng công chức. ... 2024 (12/07/2024) · Bộ GTVT điều ...","Aug 14, 2023 <b>...</b> Thông báo danh sách thí sinh không đủ điều kiện, tiêu chuẩn dự thi vòng 1 kỳ thi <b>tuyển dụng</b> công chức. ... <b>2024</b> (12/07/<b>2024</b>) &middot; Bộ GTVT điều&nbsp;...",https://mt.gov.vn/.../thong-bao-danh-sach-thi-sinh-khong-du-dieu-kien--tie...,https://mt.gov.vn/.../thong-bao-danh-sach-thi-sinh-khong-du-dieu-kien--tie...,[{'progid': 'SharePoint.WebPartPage.Document'}],,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSejnwedFjC3dPBpZOHQZCzGBNhWXKgHkHywAaqPlpc7mc9QpEn7Lg4wQ&s', 'width': '136', 'height': '76'}]",[{'src': 'https://mt.gov.vn/Images/QuangCao/69dc063a-f403-4275-8a5e-d91b4f99f3e5.png'}]
4,customsearch#result,Thông báo về việc tổ chức thi Vòng 2 kỳ thi tuyển công chức năm ...,Thông báo về việc tổ chức thi Vòng 2 kỳ thi <b>tuyển</b> công chức năm ...,https://www.vinamarine.mt.gov.vn/vi/noi-dung/thong-bao-ve-viec-chuc-thi-vong-2-ky-thi-tuyen-cong-chuc-nam-2023-cua-cuc-hang-hai-viet-nam,www.vinamarine.mt.gov.vn,Thông báo về việc tổ chức thi Vòng 2 kỳ thi tuyển công chức năm 2023 của Cục Hàng hải Việt Nam. Ngày ban hành: 09/01/2024. Thời gian bắt đầu hiệu lực: 09/01 ...,Thông báo về việc tổ chức thi Vòng 2 kỳ thi <b>tuyển</b> công chức năm 2023 của Cục Hàng hải Việt Nam. Ngày ban hành: 09/01/<b>2024</b>. Thời gian bắt đầu hiệu lực: 09/01&nbsp;...,https://www.vinamarine.mt.gov.vn/.../thong-bao-ve-viec-chuc-thi-vong-2-...,https://www.vinamarine.mt.gov.vn/.../thong-bao-ve-viec-chuc-thi-vong-2-...,"[{'viewport': 'width=device-width, initial-scale=1.0'}]",[{'date': '2024-01-09T00:00:00+07:00'}],"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-0_IRfRE8xHGKrhg68hXIgNlCae6JyoPEDWJRHhW8Ly9MlEJGzqZkMfo&s', 'width': '250', 'height': '170'}]",[{'src': 'https://www.vinamarine.gov.vn/f/styles/_nh_slide_264_x_170/public/field/image/4_2.jpg?itok=l4xEFG7C'}]
5,customsearch#result,Thông báo,Thông báo,https://mt.gov.vn/vn/Pages/thongbao.aspx,mt.gov.vn,Bộ GTVT vừa có Thông báo số 03/TB-BGTVT thông báo lịch tiếp công dân năm 2024. Danh sách các cơ sở đào tạo đã được cấp giấy chứng nhận đủ điều kiện kinh doanh ...,Bộ GTVT vừa có Thông báo số 03/TB-BGTVT thông báo lịch tiếp công dân năm <b>2024</b>. Danh sách các cơ sở đào tạo đã được cấp giấy chứng nhận đủ điều kiện kinh doanh&nbsp;...,https://mt.gov.vn/vn/Pages/thongbao.aspx,https://mt.gov.vn/vn/Pages/thongbao.aspx,[{'progid': 'SharePoint.WebPartPage.Document'}],,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKJnTN9Kni4m_ZBeHf1b9LzK8mojDWNyGNeITfzv6pBwF_Ig2ZUWmkeQ&s', 'width': '150', 'height': '100'}]",[{'src': 'https://mt.gov.vn/Images/Tintuc/m152c0bef-9ea5-4c48-b984-65f4dc8355aa.jpg'}]
6,customsearch#result,Cục Đường sắt Việt Nam thông báo tuyển dụng công chức năm 2022,Cục Đường sắt Việt Nam thông báo <b>tuyển dụng</b> công chức năm 2022,https://mt.gov.vn/cntt/tin-tuc/0/84829/cuc-duong-sat-viet-nam-thong-bao-tuyen-dung-cong-chuc-nam-2022.aspx,mt.gov.vn,"Nov 4, 2022 ... ... 2024) · Vietnam Airlines Festa thu hút đông đảo du khách tại Lễ hội Tận hưởng Đà Nẵng 2024 (18/07/2024) · Trung tâm Khí tượng hàng không tổ chức ...","Nov 4, 2022 <b>...</b> ... <b>2024</b>) &middot; Vietnam Airlines Festa thu hút đông đảo du khách tại Lễ hội Tận hưởng Đà Nẵng <b>2024</b> (18/07/<b>2024</b>) &middot; Trung tâm Khí tượng hàng không tổ chức&nbsp;...",https://mt.gov.vn/.../cuc-duong-sat-viet-nam-thong-bao-tuyen-dung-cong-c...,https://mt.gov.vn/.../cuc-duong-sat-viet-nam-thong-bao-tuyen-dung-cong-c...,"[{'viewport': 'width=device-width, initial-scale=1', 'progid': 'SharePoint.WebPartPage.Document'}]",,,
7,customsearch#result,Ban hành kế hoạch Thanh tra năm 2024,Ban hành kế hoạch Thanh tra năm <b>2024</b>,https://mt.gov.vn/vn/tin-tuc/90886/ban-hanh-ke-hoach-thanh-tra-nam-2024.aspx,mt.gov.vn,"Dec 12, 2023 ... ... tuyển dụng, sử dụng và quản lý công chức, viên chức tại Cục Hàng hải và một số đơn vị trực thuộc Cục. Thanh tra trách nhiệm thực hiện pháp ...","Dec 12, 2023 <b>...</b> ... <b>tuyển dụng</b>, sử dụng và quản lý công chức, viên chức tại Cục Hàng hải và một số đơn vị trực thuộc Cục. Thanh tra trách nhiệm thực hiện pháp&nbsp;...",https://mt.gov.vn/vn/tin-tuc/.../ban-hanh-ke-hoach-thanh-tra-nam-2024.asp...,https://mt.gov.vn/vn/tin-tuc/.../ban-hanh-ke-hoach-thanh-tra-nam-<b>2024</b>.asp...,[{'progid': 'SharePoint.WebPartPage.Document'}],,,
8,customsearch#result,Thay đổi thời gian tổ chức thi tuyển công chức vào làm việc tại các ...,Thay đổi thời gian tổ chức thi <b>tuyển</b> công chức vào làm việc tại các ...,https://mt.gov.vn/vn/tin-tuc/89148/thay-doi-thoi-gian-to-chuc-thi-tuyen-cong-chuc-vao-lam-viec-tai-cac-co-quan-cua-bo-giao-thong-van-tai-nam-2023.aspx,mt.gov.vn,"Jul 24, 2023 ... Hội đồng tuyển dụng công chức của Bộ Giao thông vận tải vừa có Thông ... 2024 (25/07/2024) · 22 sân bay chiếu phim tư liệu về Tổng Bí thư ...","Jul 24, 2023 <b>...</b> Hội đồng <b>tuyển dụng</b> công chức của Bộ Giao thông vận tải vừa có Thông ... <b>2024</b> (25/07/<b>2024</b>) &middot; 22 sân bay chiếu phim tư liệu về Tổng Bí thư&nbsp;...",https://mt.gov.vn/.../thay-doi-thoi-gian-to-chuc-thi-tuyen-cong-chuc-vao-la...,https://mt.gov.vn/.../thay-doi-thoi-gian-to-chuc-thi-tuyen-cong-chuc-vao-la...,[{'progid': 'SharePoint.WebPartPage.Document'}],,,
9,customsearch#result,Tin hoạt động | Trường Cán bộ quản lý giao thông vận tải,Tin hoạt động | Trường Cán bộ quản lý giao thông vận tải,http://itamc.mt.gov.vn/tin-tuc/2,itamc.mt.gov.vn,Trường Cán bộ quản lý giao thông vận tải thông báo tuyển dụng viên chức năm 2024 như sau: 1. Số lượng người làm việc cần tuyển ứng với từng vị trí việc làm ...,Trường Cán bộ quản lý giao thông vận tải thông báo <b>tuyển dụng</b> viên chức năm <b>2024</b> như sau: 1. Số lượng người làm việc cần tuyển ứng với từng vị trí việc làm&nbsp;...,http://itamc.mt.gov.vn/tin-tuc/2,http://itamc.mt.gov.vn/tin-tuc/2,"[{'og:image': 'https://itm.edu.vn/uploads/topics/17165993983089.jpg', 'og:type': 'website', 'viewport': 'width=device-width, initial-scale=1.0', 'author': 'https://itm.edu.vn', 'og:title': 'Tin hoạt động', 'og:url': 'https://itm.edu.vn/tin-tuc/2', 'og:description': 'Trường Cán bộ quản lý giao thông vận tải'}]",,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYW6pqjIotgZ74Jr-utHu3gzmRBATSAv1O-4_qFN7PVuRpK1aueI1RZBp7&s', 'width': '272', 'height': '185'}]",[{'src': 'https://itm.edu.vn/uploads/topics/17165993983089.jpg'}]
