,kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,pagemap.cse_thumbnail,pagemap.metatags,pagemap.cse_image
0,customsearch#result,THÔNG BÁO: Tuyển công chức năm 2024 của Ủy ban Dân tộc,THÔNG BÁO: <b>Tuyển</b> công chức năm <b>2024</b> của Ủy ban Dân tộc,http://www.cema.gov.vn/thong-bao/thong-bao-tuyen-cong-chuc-nam-2024-cua-ubdt.htm,www.cema.gov.vn,"Apr 23, 2024 ... ... tuyển dụng 13 chỉ tiêu công chức ngạch chuyên viên và tương đương, cụ thể như sau: * Đối tượng và điểm ưu tiên trong tuyển dụng công chức.","Apr 23, 2024 <b>...</b> ... <b>tuyển dụng</b> 13 chỉ tiêu công chức ngạch chuyên viên và tương đương, cụ thể như sau: * Đối tượng và điểm ưu tiên trong <b>tuyển dụng</b> công chức.",http://www.cema.gov.vn/.../thong-bao-tuyen-cong-chuc-nam-2024-cua-ub...,http://www.cema.gov.vn/.../thong-bao-tuyen-cong-chuc-nam-<b>2024</b>-cua-ub...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWhuybd5CwFiHFDzbB4R7wm0hC7eQ7gM_uNo4zvdTgdJ1y_jFMRW90yQ&s', 'width': '158', 'height': '98'}]","[{'og:image': 'http://files.ubdt.gov.vn/contentfolder/assets/admin/layout4/img/image-default-icon.png', 'fb:app_id': '1548746632082333', 'og:type': 'website', 'og:site_name': 'UBDT', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'THÔNG BÁO: Tuyển công chức năm 2024 của Ủy ban Dân tộc', 'og:url': 'http://web.ubdt.gov.vn/thong-bao/thong-bao-tuyen-cong-chuc-nam-2024-cua-ubdt.htm', 'og:description': 'Căn cứ Quyết định số 179/QĐ-UBDT ngày 28/3/2024 của Bộ trưởng, Chủ nhiệm Ủy ban Dân tộc (UBDT) về ban hành Kế hoạch thi tuyển công chức năm 2024 và Quyết định số 244/QĐ-UBDT ngày 22/4/2024 của Bộ trưởng, Chủ nhiệm UBDT về điều chỉnh, bổ sung một số nội dung của Quyết định số 179/QĐ-UBDT ngày 28/3/2024, UBDT thông báo tuyển dụng 13 chỉ tiêu công chức ngạch chuyên viên và tương đương, cụ thể như sau:'}]",[{'src': 'http://files.ubdt.gov.vn/contentfolder/assets/admin/layout4/img/image-default-icon.png'}]
1,customsearch#result,THÔNG BÁO: Tuyển dụng hợp đồng lao động làm việc tại Ban Quản ...,THÔNG BÁO: <b>Tuyển dụng</b> hợp đồng lao động làm việc tại Ban Quản ...,http://www.cema.gov.vn/thong-bao/thong-bao-tuyen-dung-hop-dong-lao-dong-lam-viec-tai-ban-quan-ly-du-an-pemu-nam-2023.htm,www.cema.gov.vn,"Mar 14, 2023 ... Thứ Sáu, ngày 26/07/2024 05:00 CH. LỄ RA QUÂN ĐIỀU TRA THU THẬP THÔNG TIN THỰC TRANG KT-XH 53 DTTS - NGÀY 01/7/2024 · Trang chủ · Thông báo ...","Mar 14, 2023 <b>...</b> Thứ Sáu, ngày 26/07/<b>2024</b> 05:00 CH. LỄ RA QUÂN ĐIỀU TRA THU THẬP THÔNG TIN THỰC TRANG KT-XH 53 DTTS - NGÀY 01/7/<b>2024</b> &middot; Trang chủ &middot; Thông báo&nbsp;...",http://www.cema.gov.vn/.../thong-bao-tuyen-dung-hop-dong-lao-dong-la...,http://www.cema.gov.vn/.../thong-bao-tuyen-dung-hop-dong-lao-dong-la...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWhuybd5CwFiHFDzbB4R7wm0hC7eQ7gM_uNo4zvdTgdJ1y_jFMRW90yQ&s', 'width': '158', 'height': '98'}]","[{'og:image': 'http://files.ubdt.gov.vn/contentfolder/assets/admin/layout4/img/image-default-icon.png', 'fb:app_id': '1548746632082333', 'og:type': 'website', 'og:site_name': 'UBDT', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'THÔNG BÁO: Tuyển dụng hợp đồng lao động làm việc tại Ban Quản lý Dự án PEMU năm 2023', 'og:url': 'http://web.ubdt.gov.vn/thong-bao/thong-bao-tuyen-dung-hop-dong-lao-dong-lam-viec-tai-ban-quan-ly-du-an-pemu-nam-2023.htm'}]",[{'src': 'http://files.ubdt.gov.vn/contentfolder/assets/admin/layout4/img/image-default-icon.png'}]
2,customsearch#result,Thông báo,Thông báo,http://www.cema.gov.vn/thong-bao.htm?p=2,www.cema.gov.vn,"THÔNG BÁO: Tuyển công chức năm 2024 của Ủy ban Dân tộc. 03:00 PM 23/04/2024 ... dụng 13 chỉ tiêu công chức ngạch chuyên viên và tương đương, cụ thể như ...","THÔNG BÁO: <b>Tuyển</b> công chức năm <b>2024</b> của Ủy ban Dân tộc. 03:00 PM 23/04/<b>2024</b> ... <b>dụng</b> 13 chỉ tiêu công chức ngạch chuyên viên và tương đương, cụ thể như&nbsp;...",http://www.cema.gov.vn/thong-bao.htm?p=2,http://www.cema.gov.vn/thong-bao.htm?p=2,,"[{'viewport': 'width=device-width, initial-scale=1'}]",
3,customsearch#result,Thông báo: Xét tuyển công chức vào làm việc tại các đơn vị quản lý ...,Thông báo: Xét <b>tuyển</b> công chức vào làm việc tại các đơn vị quản lý ...,http://www.cema.gov.vn/thong-bao/thong-bao-xet-tuyen-cong-chuc-vao-lam-viec-tai-cac-don-vi-quan-ly-nha-nuoc-thuoc-uy-ban-dan-toc-nam-2020.htm,www.cema.gov.vn,"Sep 28, 2020 ... ... tuyển dụng của từng đơn vị tuyển dụng theo vị trí việc làm. IV. THỜI ... Ủy ban Dân tộc sơ kết 6 tháng đầu năm 2024 về chuyển đổi số và ...","Sep 28, 2020 <b>...</b> ... <b>tuyển dụng</b> của từng đơn vị <b>tuyển dụng</b> theo vị trí việc làm. IV. THỜI ... Ủy ban Dân tộc sơ kết 6 tháng đầu năm <b>2024</b> về chuyển đổi số và&nbsp;...",http://www.cema.gov.vn/.../thong-bao-xet-tuyen-cong-chuc-vao-lam-viec-t...,http://www.cema.gov.vn/.../thong-bao-xet-tuyen-cong-chuc-vao-lam-viec-t...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWhuybd5CwFiHFDzbB4R7wm0hC7eQ7gM_uNo4zvdTgdJ1y_jFMRW90yQ&s', 'width': '158', 'height': '98'}]","[{'og:image': 'http://files.ubdt.gov.vn/contentfolder/assets/admin/layout4/img/image-default-icon.png', 'fb:app_id': '1548746632082333', 'og:type': 'website', 'og:site_name': 'UBDT', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Thông báo: Xét tuyển công chức vào làm việc tại các đơn vị quản lý nhà nước thuộc Ủy ban Dân tộc năm 2020', 'og:url': 'http://web.ubdt.gov.vn/thong-bao/thong-bao-xet-tuyen-cong-chuc-vao-lam-viec-tai-cac-don-vi-quan-ly-nha-nuoc-thuoc-uy-ban-dan-toc-nam-2020.htm', 'og:description': 'Căn cứ Quyết định số 501/QĐ-UBDT ngày 09/9/2020 của Bộ trưởng, Chủ nhiệm Ủy ban Dân tộc ban hành kế hoạch xét tuyển công chức vào làm việc tại các đơn vị quản lý nhà nước năm 2020, Ủy ban Dân tộc thông báo kế hoạch xét tuyển công chức như sau:'}]",[{'src': 'http://files.ubdt.gov.vn/contentfolder/assets/admin/layout4/img/image-default-icon.png'}]
4,customsearch#result,Phát triển giáo dục - đào tạo vùng đồng bào Khmer: Hoàn thiện ...,Phát triển giáo dục - đào tạo vùng đồng bào Khmer: Hoàn thiện ...,http://www.cema.gov.vn/phat-trien-giao-duc-dao-tao-vung-dong-bao-khmer-hoan-thien-chinh-sach-cu-tuyen-va-tuyen-dung.htm,www.cema.gov.vn,Phát triển giáo dục - đào tạo vùng đồng bào Khmer: Hoàn thiện chính sách cử tuyển và tuyển dụng. 09:16 AM 05/10/2015 | Lượt xem: ... Ủy ban Dân tộc sơ kết 6 ...,Phát triển giáo dục - đào tạo vùng đồng bào Khmer: Hoàn thiện chính sách cử tuyển và <b>tuyển dụng</b>. 09:16 AM 05/10/2015 | Lượt xem: ... Ủy ban Dân tộc sơ kết 6&nbsp;...,http://www.cema.gov.vn/phat-trien-giao-duc-dao-tao-vung-dong-bao-khm...,http://www.cema.gov.vn/phat-trien-giao-duc-dao-tao-vung-dong-bao-khm...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdm59VlucsWeerj_CvlBeRwvuuOFqv0_oRhonSAFIaEGSs1lXW3Ll8Cf79&s', 'width': '275', 'height': '183'}]","[{'og:image': 'http://files.ubdt.gov.vn/contentfolder/de_tai/source_files/2015/10/05/09152537_020815giaoduckhmerbaichinhsachvacuocsongdoc-1_15-10-05.jpg', 'fb:app_id': '1548746632082333', 'og:type': 'website', 'og:site_name': 'UBDT', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Phát triển giáo dục - đào tạo vùng đồng bào Khmer: Hoàn thiện chính sách cử tuyển và tuyển dụng', 'og:url': 'http://web.ubdt.gov.vn/phat-trien-giao-duc-dao-tao-vung-dong-bao-khmer-hoan-thien-chinh-sach-cu-tuyen-va-tuyen-dung.htm', 'og:description': 'Thực tế triển khai các chính sách về giáo dục - đào tạo cho đồng bào Khmer, đã cho thấy có những “lực cản” cần phải giải quyết. Điều này đòi hỏi cần có những giải pháp để điều chỉnh, xây dựng chính sách phù hợp hơn với xu thế hội nhập nhằm phát triển bền vững cho vùng đồng bằng sông Cửu Long.'}]",[{'src': 'http://files.ubdt.gov.vn/contentfolder/de_tai/source_files/2015/10/05/09152537_020815giaoduckhmerbaichinhsachvacuocsongdoc-1_15-10-05.jpg'}]
5,customsearch#result,Trang chủ | Cổng thông tin điện tử Ủy ban Dân tộc,Trang chủ | Cổng thông tin điện tử Ủy ban Dân tộc,http://cema.gov.vn/,cema.gov.vn,"THÔNG BÁO · THÔNG BÁO ĐẤU GIÁ TÀI SẢN (25/07/2024) · Dự thảo Nghị định sửa đổi, bổ sung một số điều của Nghị định số 05/2011/NĐ-CP ngày 14/01/2011 của Chính phủ ...","THÔNG BÁO &middot; THÔNG BÁO ĐẤU GIÁ TÀI SẢN (25/07/<b>2024</b>) &middot; Dự thảo Nghị định sửa đổi, bổ sung một số điều của Nghị định số 05/2011/NĐ-CP ngày 14/01/2011 của Chính phủ&nbsp;...",http://cema.gov.vn/,http://cema.gov.vn/,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpbrMR6U7zJcjUQWzo5eUfWigSN1r4G6X5F1M6xwLmEpPBiV5rKTJpcHg&s', 'width': '276', 'height': '182'}]","[{'viewport': 'width=device-width, initial-scale=1'}]",[{'src': 'http://files.ubdt.gov.vn/ContentFolder/ecm/source_files/2024/07/26/16304059_Truy%20dieu-1_24-07-26.jpg'}]
6,customsearch#result,Lào Cai: Thêm nhiều lựa chọn học nghề cho học sinh vùng cao,Lào Cai: Thêm nhiều lựa chọn học nghề cho học sinh vùng cao,http://www.cema.gov.vn/tin-tuc/tin-tuc-su-kien/y-te-giao-duc/lao-cai-them-nhieu-lua-chon-hoc-nghe-cho-hoc-sinh-vung-cao.htm,www.cema.gov.vn,"Jul 2, 2023 ... Năm học 2023 - 2024, Trường Cao đẳng Lào Cai sẽ thành lập thêm 4 khoa đào tạo nghề, nâng tổng số khoa của trường lên 9 khoa chuyên môn với ...","Jul 2, 2023 <b>...</b> Năm học 2023 - <b>2024</b>, Trường Cao đẳng Lào Cai sẽ thành lập thêm 4 khoa đào tạo nghề, nâng tổng số khoa của trường lên 9 khoa chuyên môn với&nbsp;...",http://www.cema.gov.vn/.../lao-cai-them-nhieu-lua-chon-hoc-nghe-cho-ho...,http://www.cema.gov.vn/.../lao-cai-them-nhieu-lua-chon-hoc-nghe-cho-ho...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9M8JfRo_sFxMQB9vq_IV-PnTxJJ0l3d8VxP0W3eHZCM8RikLU0G23G-1A&s', 'width': '295', 'height': '171'}]","[{'og:image': 'http://files.ubdt.gov.vn/contentfolder/ecm/source_files/2023/07/02/18431961_7.2- lao cai 1_23-07-02.jpg', 'fb:app_id': '1548746632082333', 'og:type': 'website', 'og:site_name': 'UBDT', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Lào Cai: Thêm nhiều lựa chọn học nghề cho học sinh vùng cao', 'og:url': 'http://web.ubdt.gov.vn/tin-tuc/tin-tuc-su-kien/y-te-giao-duc/lao-cai-them-nhieu-lua-chon-hoc-nghe-cho-hoc-sinh-vung-cao.htm', 'og:description': 'Năm học 2023 - 2024, Trường Cao đẳng Lào Cai sẽ thành lập thêm 4 khoa đào tạo nghề, nâng tổng số khoa của trường lên 9 khoa chuyên môn với nhiều chuyên ngành đào tạo.'}]",[{'src': 'http://files.ubdt.gov.vn/ContentFolder/ecm/source_files/2023/07/02/18431961_7.2-%20lao%20cai%201_23-07-02.jpg'}]
7,customsearch#result,Thông báo: Kết quả xét tuyển công chức theo Nghị định 140/2017 ...,Thông báo: Kết quả xét <b>tuyển</b> công chức theo Nghị định 140/2017 ...,http://www.cema.gov.vn/thong-bao/thong-bao-ket-qua-xet-tuyen-cong-chuc-theo-nghi-dinh-140-2017-nd-cp-ngay-05-12-2017-cua-chinh-phu.htm,www.cema.gov.vn,"Feb 5, 2021 ... ... tuyển dụng, UBDT sẽ hủy kết quả trúng tuyển theo quy định. 3. Thời ... 2024 (26/07/2024) · Tổ chức trọng thể Lễ truy điệu Tổng Bí thư ...","Feb 5, 2021 <b>...</b> ... <b>tuyển dụng</b>, UBDT sẽ hủy kết quả trúng tuyển theo quy định. 3. Thời ... <b>2024</b> (26/07/<b>2024</b>) &middot; Tổ chức trọng thể Lễ truy điệu Tổng Bí thư&nbsp;...",http://www.cema.gov.vn/.../thong-bao-ket-qua-xet-tuyen-cong-chuc-theo-n...,http://www.cema.gov.vn/.../thong-bao-ket-qua-xet-tuyen-cong-chuc-theo-n...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWhuybd5CwFiHFDzbB4R7wm0hC7eQ7gM_uNo4zvdTgdJ1y_jFMRW90yQ&s', 'width': '158', 'height': '98'}]","[{'og:image': 'http://files.ubdt.gov.vn/contentfolder/assets/admin/layout4/img/image-default-icon.png', 'fb:app_id': '1548746632082333', 'og:type': 'website', 'og:site_name': 'UBDT', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Thông báo: Kết quả xét tuyển công chức theo Nghị định 140/2017/NĐ-CP ngày 05/12/2017 của Chính phủ', 'og:url': 'http://web.ubdt.gov.vn/thong-bao/thong-bao-ket-qua-xet-tuyen-cong-chuc-theo-nghi-dinh-140-2017-nd-cp-ngay-05-12-2017-cua-chinh-phu.htm', 'og:description': 'Căn cứ Quyết định số 89/QĐ-UBDT ngày 04/02/2021 của Bộ trưởng, Chủ nhiệm UBDT về việc phê duyệt kết quả xét tuyển công chức năm 2020 của UBDT theo Nghị định số 140/2017/NĐ-CP của Chính phủ về chính sách thu hút, tạo nguồn cán bộ từ sinh viên tốt nghiệp xuất sắc, cán bộ khoa học trẻ; UBDT thông báo như sau:'}]",[{'src': 'http://files.ubdt.gov.vn/contentfolder/assets/admin/layout4/img/image-default-icon.png'}]
8,customsearch#result,Tạo điều kiện thuận lợi cho học sinh vùng DTTS&MN tham gia kỳ thi ...,Tạo điều kiện thuận lợi cho học sinh vùng DTTS&amp;MN tham gia kỳ thi ...,http://www.cema.gov.vn/tin-tuc/tin-tuc-su-kien/y-te-giao-duc/tao-dieu-kien-thuan-loi-cho-hoc-sinh-vung-dtts-mn-tham-gia-ky-thi-tot-nghiep-thpt-va-tuyen-sinh-dai-hoc-giao-duc-nghe-nghiep-nam-2024.htm,www.cema.gov.vn,"May 24, 2024 ... ... tuyển sinh đại học, giáo dục nghề nghiệp năm 2024. Những năm qua, Kỳ ... dụng công nghệ cao để gian lận trong kỳ thi ngày càng tinh vi ...","May 24, 2024 <b>...</b> ... <b>tuyển</b> sinh đại học, giáo dục nghề nghiệp năm <b>2024</b>. Những năm qua, Kỳ ... <b>dụng</b> công nghệ cao để gian lận trong kỳ thi ngày càng tinh vi&nbsp;...",http://www.cema.gov.vn/.../tao-dieu-kien-thuan-loi-cho-hoc-sinh-vung-dtts...,http://www.cema.gov.vn/.../tao-dieu-kien-thuan-loi-cho-hoc-sinh-vung-dtts...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzAWeC8-UC4Bzg5ImtiYlmKueDz9wLmPoAs9qNRF-xu6dO1vHL5CwFK9kJ&s', 'width': '275', 'height': '183'}]","[{'og:image': 'http://files.ubdt.gov.vn/contentfolder/ecm/source_files/2024/05/24/08272183_gd_24-05-24.jpg', 'fb:app_id': '1548746632082333', 'og:type': 'website', 'og:site_name': 'UBDT', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Tạo điều kiện thuận lợi cho học sinh vùng DTTS&MN tham gia kỳ thi tốt nghiệp THPT và tuyển sinh đại học, giáo dục nghề nghiệp năm 2024', 'og:url': 'http://web.ubdt.gov.vn/tin-tuc/tin-tuc-su-kien/y-te-giao-duc/tao-dieu-kien-thuan-loi-cho-hoc-sinh-vung-dtts-mn-tham-gia-ky-thi-tot-nghiep-thpt-va-tuyen-sinh-dai-hoc-giao-duc-nghe-nghiep-nam-2024.htm', 'og:description': 'Đó là một trong những chỉ đạo của Thủ tướng Chính phủ Phạm Minh Chính về tăng cường chỉ đạo, phối hợp tổ chức Kỳ thi tốt nghiệp THPT và tuyển sinh đại học, giáo dục nghề nghiệp năm 2024.'}]",[{'src': 'http://files.ubdt.gov.vn/contentfolder/ecm/source_files/2024/05/24/08272183_gd_24-05-24.jpg'}]
9,customsearch#result,"Đồng chí Đỗ Văn Chiến, Ủy viên BCH Trung ương Đảng, Thứ ...","Đồng chí Đỗ Văn Chiến, Ủy viên BCH Trung ương Đảng, Thứ ...",http://cema.gov.vn/dong-chi-do-van-chien-uy-vien-bch-trung-uong-dang-thu-truong-pcn-uy-ban-dan-toc-duoc-quoc-hoi-phe-chuan-giu-chuc-bo-truong-chu-nhiem-uy-ban-dan-toc-voi-so-phieu-cao-nhat.htm,cema.gov.vn,"Apr 14, 2016 ... - Ngày được tuyển dụng làm cán bộ, công chức, viên chức: 13/10/1986 ... 2024 (26/07/2024) · Tổ chức trọng thể Lễ truy điệu Tổng Bí thư ...","Apr 14, 2016 <b>...</b> - Ngày được <b>tuyển dụng</b> làm cán bộ, công chức, viên chức: 13/10/1986 ... <b>2024</b> (26/07/<b>2024</b>) &middot; Tổ chức trọng thể Lễ truy điệu Tổng Bí thư&nbsp;...",http://cema.gov.vn/dong-chi-do-van-chien-uy-vien-bch-trung-uong-dang-t...,http://cema.gov.vn/dong-chi-do-van-chien-uy-vien-bch-trung-uong-dang-t...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfL6PRwKA9CCCiLM6kC8zua_dKvZRRYwoiEVTvJwHAe6MVMvNi_W6I5Ys&s', 'width': '260', 'height': '194'}]","[{'og:image': 'http://files.ubdt.gov.vn/contentfolder/ubdt/source_files/2016/04/13/14595736_1_16-04-13.jpg', 'fb:app_id': '1548746632082333', 'og:type': 'website', 'og:site_name': 'UBDT', 'viewport': 'width=device-width, initial-scale=1', 'og:title': 'Đồng chí Đỗ Văn Chiến, Ủy viên BCH Trung ương Đảng, Thứ trưởng, PCN Ủy ban Dân tộc được Quốc hội phê chuẩn giữ chức Bộ trưởng, Chủ nhiệm Ủy ban Dân tộc với số phiếu cao nhất', 'og:url': 'http://web.ubdt.gov.vn/dong-chi-do-van-chien-uy-vien-bch-trung-uong-dang-thu-truong-pcn-uy-ban-dan-toc-duoc-quoc-hoi-phe-chuan-giu-chuc-bo-truong-chu-nhiem-uy-ban-dan-toc-voi-so-phieu-cao-nhat.htm', 'og:description': 'Trong chương trình làm việc sáng 9/4, Quốc hội đã tiến hành bỏ phiếu phê chuẩn đề nghị của Thủ tướng Chính phủ về việc bổ nhiệm 21 thành viên của Chính phủ.'}]",[{'src': 'http://files.ubdt.gov.vn/contentfolder/ubdt/source_files/2016/04/13/14595736_1_16-04-13.jpg'}]
