,kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,mime,fileFormat,pagemap.cse_thumbnail,pagemap.metatags,pagemap.cse_image
0,customsearch#result,Tuyển dụng,<b>Tuyển dụng</b>,https://www.sbv.gov.vn/webcenter/portal/vi/menu/trangchu/hdk/tccb/td,www.sbv.gov.vn,... tuyển dụng công chức loại D năm 2024 của NHNN Chi nhánh tỉnh Tiền Giang (09/07/2024). Thông báo danh sách đủ/không đủ điều kiện tham dự và lịch thi Vòng 2 Kỳ ...,... <b>tuyển dụng</b> công chức loại D năm <b>2024</b> của NHNN Chi nhánh tỉnh Tiền Giang (09/07/<b>2024</b>). Thông báo danh sách đủ/không đủ điều kiện tham dự và lịch thi Vòng 2 Kỳ&nbsp;...,https://www.sbv.gov.vn/webcenter/portal/vi/menu/trangchu/hdk/tccb/td,https://www.sbv.gov.vn/webcenter/portal/vi/menu/trangchu/hdk/tccb/td,,,,,
1,customsearch#result,Tuyển dụng,<b>Tuyển dụng</b>,https://www.sbv.gov.vn/webcenter/portal/m/menu/fm/td?p=3,www.sbv.gov.vn,Thông báo tuyển dụng công chức loại D năm 2024 vào làm việc tại NHNN Chi nhánh tỉnh Thái Nguyên (28/02/2024). Thông báo tuyển dụng công chức loại D năm 2024.,Thông báo <b>tuyển dụng</b> công chức loại D năm <b>2024</b> vào làm việc tại NHNN Chi nhánh tỉnh Thái Nguyên (28/02/<b>2024</b>). Thông báo <b>tuyển dụng</b> công chức loại D năm <b>2024</b>.,https://www.sbv.gov.vn/webcenter/portal/m/menu/fm/td?p=3,https://www.sbv.gov.vn/webcenter/portal/m/menu/fm/td?p=3,,,,,
2,customsearch#result,Tuyển dụng,<b>Tuyển dụng</b>,https://sbv.gov.vn/webcenter/portal/m/menu/fm/td?p=2,sbv.gov.vn,Thông báo triệu tập thí sinh dự thi vòng 2 kỳ thi tuyển dụng công chức loại D vào làm việc tại NHNN Chi nhánh tỉnh Thái Nguyên năm 2024 (02/05/2024).,Thông báo triệu tập thí sinh dự thi vòng 2 kỳ thi <b>tuyển dụng</b> công chức loại D vào làm việc tại NHNN Chi nhánh tỉnh Thái Nguyên năm <b>2024</b> (02/05/<b>2024</b>).,https://sbv.gov.vn/webcenter/portal/m/menu/fm/td?p=2,https://sbv.gov.vn/webcenter/portal/m/menu/fm/td?p=2,,,,,
3,customsearch#result,ngân hàng nhà nước chi nhánh tỉnh tiền giang hội đồng tuyển dụng ...,ngân hàng nhà nước chi nhánh tỉnh tiền giang hội đồng <b>tuyển dụng</b> ...,https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV603212//idcPrimaryFile&revision=latestreleased,www.sbv.gov.vn,"May 6, 2024 ... Kết quả thi Vòng 1 kỳ tuyển dụng công chức loại D năm 2024 của Ngân ... định về tuyển dụng, sử dụng và quản lý công chức;. Căn cứ Thông ...","May 6, 2024 <b>...</b> Kết quả thi Vòng 1 kỳ <b>tuyển dụng</b> công chức loại D năm <b>2024</b> của Ngân ... định về <b>tuyển dụng</b>, sử dụng và quản lý công chức;. Căn cứ Thông&nbsp;...",https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,application/pdf,PDF/Adobe Acrobat,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0uImsuA1zzYHy-8zQVJTc4xrjgrYOvuKA-EanSkqDZzrYfxuOFllLgYE&s', 'width': '230', 'height': '219'}]","[{'moddate': ""D:20240620083448+07'00'"", 'creator': 'Microsoft® Word 2013', 'creationdate': ""D:20240619191724+07'00'"", 'producer': 'Microsoft® Word 2013; modified using iTextSharp™ 5.5.5 ©2000-2014 iText Group NV (AGPL-version)'}]",[{'src': 'x-raw-image:///7736a8282d45069054c1688b462e6234624a6ad0b6b7ac60574c719e828e5dd6'}]
4,customsearch#result,Tuyển dụng,<b>Tuyển dụng</b>,https://sbv.gov.vn/webcenter/portal/m/menu/fm/td?p=4,sbv.gov.vn,(16/01/2024). PL01: Danh sách thí sinh theo phòng thi · PL02: Nội quy thi trắc ... Thông báo tuyển dụng công chức loại D (Nhân viên văn thư) vào làm việc ...,(16/01/<b>2024</b>). PL01: Danh sách thí sinh theo phòng thi &middot; PL02: Nội quy thi trắc ... Thông báo <b>tuyển dụng</b> công chức loại D (Nhân viên văn thư) vào làm việc&nbsp;...,https://sbv.gov.vn/webcenter/portal/m/menu/fm/td?p=4,https://sbv.gov.vn/webcenter/portal/m/menu/fm/td?p=4,,,,,
5,customsearch#result,"Lào Cai, ngày tháng 7 năm 2024 THÔNG BÁO Về việc Tuyển dụng ...","Lào Cai, ngày tháng 7 năm <b>2024</b> THÔNG BÁO Về việc <b>Tuyển dụng</b> ...",https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV610024//idcPrimaryFile&revision=latestreleased,www.sbv.gov.vn,"May 7, 2024 ... Ngân hàng Nhà nước Chi nhánh tỉnh Lào Cai tổ chức thi tuyển công chức loại D năm 2024, cụ thể như sau: 1. Vị trí, số lượng tuyển dụng.","May 7, 2024 <b>...</b> Ngân hàng Nhà nước Chi nhánh tỉnh Lào Cai tổ chức thi tuyển công chức loại D năm <b>2024</b>, cụ thể như sau: 1. Vị trí, số lượng <b>tuyển dụng</b>.",https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,application/pdf,PDF/Adobe Acrobat,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBM_ej4f4y2ZPdUNS1b_MYK14A6BJT-2fRxwRkl8OTtW5Bb7vzhhutnpE&s', 'width': '235', 'height': '214'}]","[{'moddate': ""D:20240725134817+07'00'"", 'creator': 'Microsoft® Word 2013', 'creationdate': ""D:20240725133227+07'00'"", 'producer': 'Microsoft® Word 2013; modified using iTextSharp™ 5.5.5 ©2000-2014 iText Group NV (AGPL-version)'}]",[{'src': 'x-raw-image:///c95d976eaf35e0deca9ab8f48f9186af206a831bf1156b3536530ef39fa4988d'}]
6,customsearch#result,NGÂN HÀNG NHÀ NƯỚC CHI NHÁNH TỈNH TIỀN GIANG HỘI ...,NGÂN HÀNG NHÀ NƯỚC CHI NHÁNH TỈNH TIỀN GIANG HỘI ...,https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV606011//idcPrimaryFile&revision=latestreleased,www.sbv.gov.vn,"Jul 8, 2024 ... Căn cứ Thông báo số 115/TB-TGI ngày 20/6/2024 về việc thông báo kết quả thi tuyển Vòng 1 kỳ tuyển dụng công chức loại D năm 2024 của Ngân hàng ...","Jul 8, 2024 <b>...</b> Căn cứ Thông báo số 115/TB-TGI ngày 20/6/<b>2024</b> về việc thông báo kết quả thi tuyển Vòng 1 kỳ <b>tuyển dụng</b> công chức loại D năm <b>2024</b> của Ngân hàng&nbsp;...",https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,application/pdf,PDF/Adobe Acrobat,,"[{'moddate': 'Mon Jul  8 21:05:19 2024', 'creationdate': 'Mon Jul  8 21:05:19 2024', 'producer': 'ABBYY FineReader 12 Sprint'}]",
7,customsearch#result,Thông báo triệu tập thí sinh dự thi (vòng 1) kỳ thi tuyển dụng công ...,Thông báo triệu tập thí sinh dự thi (vòng 1) kỳ thi <b>tuyển dụng</b> công ...,https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV592463//idcPrimaryFile&revision=latestreleased,www.sbv.gov.vn,Thời gian tổ chức thi tuyển vòng 1: -. -. Ngày 10/4/2024 (thứ Tư):. - Từ 08h - 09h00: Thí sinh làm thủ tục dự thi. Từ 09h00- 10h00: Khai mạc kỳ thi.,Thời gian tổ chức thi <b>tuyển</b> vòng 1: -. -. Ngày 10/4/<b>2024</b> (thứ Tư):. - Từ 08h - 09h00: Thí sinh làm thủ tục dự thi. Từ 09h00- 10h00: Khai mạc kỳ thi.,https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,application/pdf,PDF/Adobe Acrobat,,,
8,customsearch#result,"Tự do - Hạnh phúc Số: /TB-ĐAL Đắk Lắk, ngày 11 tháng 7 năm ...","Tự do - Hạnh phúc Số: /TB-ĐAL Đắk Lắk, ngày 11 tháng 7 năm ...",https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV606225//idcPrimaryFile&revision=latestreleased,www.sbv.gov.vn,"Jul 11, 2024 ... - Thời gian: Dự kiến tổ chức thi vào cuối tháng 8/2024. - Hình thức tuyển dụng: Thi tuyển. - Nội dung tuyển dụng: * Vòng 1. Thi kiểm tra kiến ...","Jul 11, 2024 <b>...</b> - Thời gian: Dự kiến tổ chức thi vào cuối tháng 8/<b>2024</b>. - Hình thức <b>tuyển dụng</b>: Thi tuyển. - Nội dung <b>tuyển dụng</b>: * Vòng 1. Thi kiểm tra kiến&nbsp;...",https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,application/pdf,PDF/Adobe Acrobat,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrvYMqsPKgHMeUSw0NiY2huMCwM5LBhadSvgh1A5BAoSoYKqNIpd7tVSzS&s', 'width': '228', 'height': '221'}]","[{'moddate': ""D:20240711152958+07'00'"", 'creator': 'Microsoft® Word 2013', 'creationdate': ""D:20240711104317+07'00'"", 'producer': 'Microsoft® Word 2013; modified using iTextSharp™ 5.5.5 ©2000-2014 iText Group NV (AGPL-version)'}]",[{'src': 'x-raw-image:///0a1e61ecd6e68c8197af20b5bad80474eebd4ad6d1dd4c5e68e1a83f53a67220'}]
9,customsearch#result,THÔNG BÁO Về việc tuyển dụng công chức loại D (Nhân viên Tiền ...,THÔNG BÁO Về việc <b>tuyển dụng</b> công chức loại D (Nhân viên Tiền ...,https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV593408//idcPrimaryFile&revision=latestreleased,www.sbv.gov.vn,"May 4, 2024 ... 7.1. Thời gian nhận hồ sơ: từ ngày 15/4/2024 đến hết ngày 15/5/2024. 7.2. Địa điểm nhận hồ ...","May 4, 2024 <b>...</b> 7.1. Thời gian nhận hồ sơ: từ ngày 15/4/<b>2024</b> đến hết ngày 15/5/<b>2024</b>. 7.2. Địa điểm nhận hồ&nbsp;...",https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,https://www.sbv.gov.vn/webcenter/ShowProperty?nodeId=/...revision...,application/pdf,PDF/Adobe Acrobat,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvgdNkYq5NG7qP_3GpaC_9UVEH-yqR8rH1NeHzgTRBCpiYFYwvh_9FLd4&s', 'width': '230', 'height': '219'}]","[{'moddate': ""D:20240409143800+07'00'"", 'creator': 'Microsoft® Word 2013', 'creationdate': ""D:20240409130410+07'00'"", 'producer': 'Microsoft® Word 2013; modified using iTextSharp™ 5.5.5 ©2000-2014 iText Group NV (AGPL-version)'}]",[{'src': 'x-raw-image:///6e553cb0af9965925e6cfd85f3da3383210489367e4c82d9abc492fb50e5dfb6'}]
