,kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,pagemap.cse_thumbnail,pagemap.metatags,pagemap.cse_image,pagemap.thumbnail
0,customsearch#result,Từ 01/8/2024 chỉ tuyển dụng công chức đối với người đạt kết quả ...,Từ 01/8/<b>2024</b> chỉ <b>tuyển dụng</b> công chức đối với người đạt kết quả ...,https://isl.vass.gov.vn/thong-tin-phap-ly/gioi-thieu-van-ban/Tu-01-8-2024-chi-tuyen-dung-cong-chuc-doi-voi-nguoi-dat-ket-qua-kiem-dinh-14042.17,isl.vass.gov.vn,"Từ 01/8/2024 chỉ tuyển dụng công chức đối với người đạt kết quả kiểm định · Điều kiện đăng ký dự kiểm định chất lượng đầu vào công chức · Hình thức, nội dung và ...","Từ 01/8/<b>2024</b> chỉ <b>tuyển dụng</b> công chức đối với người đạt kết quả kiểm định &middot; Điều kiện đăng ký dự kiểm định chất lượng đầu vào công chức &middot; Hình thức, nội dung và&nbsp;...",https://isl.vass.gov.vn/.../Tu-01-8-2024-chi-tuyen-dung-cong-chuc-doi-voi...,https://isl.vass.gov.vn/.../Tu-01-8-<b>2024</b>-chi-tuyen-dung-cong-chuc-doi-voi...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxlfNu2qSfJfUhd6fX7-3BQf83geWeTkvP5jmr0-mvKavyUNfx7TAdbU6Y&s', 'width': '272', 'height': '185'}]","[{'dc.publisher': 'Viện Nhà Nước và Pháp luật | Institute Of State And Law', 'copyright': 'Viện Nhà Nước và Pháp luật | Institute Of State And Law', 'dc.description': 'Viện Nhà Nước và Pháp luật | Institute Of State And Law', 'geo.region': 'VN-HN', 'dc.rights.copyright': 'Viện Nhà Nước và Pháp luật | Institute Of State And Law', 'dc.creator.name': 'Viện Nhà Nước và Pháp luật | Institute Of State And Law', 'author': 'Viện Nhà Nước và Pháp luật | Institute Of State And Law', 'geo.position': '20.966755;105.770354', 'dc.keywords': 'Viện Nhà Nước và Pháp luật | Institute Of State And Law', 'dc.created': '2015-12-31', 'icbm': '20.966755, 105.770354', 'viewport': 'width=device-width, initial-scale=1.0', 'dc.subject': 'Viện Nhà Nước và Pháp luật | Institute Of State And Law', 'dc.identifier': 'http://isl.vass.gov.vn', 'dc.creator.email': 'sales@hb.ads.vn', 'dc.language': 'vi-VN', 'geo.placename': 'Ha Noi, Viet Nam'}]",[{'src': 'https://isl.vass.gov.vn/content/noidung/022018/DSC_4438%20copy.jpg'}],
1,customsearch#result,Viện Khoa Học Xã Hội Vùng Trung Bộ,Viện Khoa Học Xã Hội Vùng Trung Bộ,https://isscr.vass.gov.vn/noidung/thongbao,isscr.vass.gov.vn,Ngày kết thúc: 30/05/2024. Thông báo danh sách thí sinh đủ điều kiện tham dự vòng 2 kỳ tuyển dụng viên chức Viện khoa học xã hội vùng Trung Bộ. Thông báo danh ...,Ngày kết thúc: 30/05/<b>2024</b>. Thông báo danh sách thí sinh đủ điều kiện tham dự vòng 2 kỳ <b>tuyển dụng</b> viên chức Viện khoa học xã hội vùng Trung Bộ. Thông báo danh&nbsp;...,https://isscr.vass.gov.vn/noidung/thongbao,https://isscr.vass.gov.vn/noidung/thongbao,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQc-5ZfmiByK6NRxUZQkTzZaLJ4d7go2gnz7OCaJgz8TVOZJ3NXK4MAEcQ&s', 'width': '226', 'height': '170'}]",[{'progid': 'SharePoint.WebPartPage.Document'}],[{'src': 'https://isscr.vass.gov.vn/noidung/lienketquangcao/AnhQuangCao/CMT_898_logo-hocvien.jpg'}],
2,customsearch#result,Tin tức Đào tạo,Tin tức Đào tạo,https://vass.gov.vn/tin-tuc-dao-tao-0.0.1,vass.gov.vn,"Từ ngày 18 đến 22 tháng 7 năm 2024, trong khuôn khổ Nhiệm vụ bảo vệ môi trường năm 2024 ... Thông báo kết quả tuyển dụng viên chức Viện Khoa học xã hội Vùng Trung ...","Từ ngày 18 đến 22 tháng 7 năm <b>2024</b>, trong khuôn khổ Nhiệm vụ bảo vệ môi trường năm <b>2024</b> ... Thông báo kết quả <b>tuyển dụng</b> viên chức Viện Khoa học xã hội Vùng Trung&nbsp;...",https://vass.gov.vn/tin-tuc-dao-tao-0.0.1,https://vass.gov.vn/tin-tuc-dao-tao-0.0.1,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAdp5Bmf24JSljFQa1Si-X88qHcBe1yfzpnIPmz3-x_WkQGsxT_atxaFie&s', 'width': '273', 'height': '184'}]","[{'twitter:card': 'article', 'twitter:title': 'Tin tức Đào tạo', 'og:type': 'article', 'twitter:site': 'VIỆN HÀN LÂM KHOA HỌC XÃ HỘI VIỆT NAM', 'og:site_name': 'VIỆN HÀN LÂM KHOA HỌC XÃ HỘI VIỆT NAM', 'viewport': 'width=device-width, initial-scale=1.0', 'og:title': 'Tin tức Đào tạo', 'og:locale': 'vi_VN', 'progid': 'SharePoint.WebPartPage.Document', 'og:url': 'https://vass.gov.vn/tin-tuc-dao-tao-0.0.1', 'twitter:creator': 'https://vass.gov.vn', 'format-detection': 'telephone=no'}]",[{'src': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Anh%20Khoat%202017/Khoat%202023/MrKhoat%202024/_w/ct-22.7.2024-1_png.jpg'}],
3,customsearch#result,Hành chính,Hành chính,http://vie.vass.gov.vn/vn/thong-bao-giai-the-trung-tam-kinh-te-xanh-va-phat-trien-ben-vung-thuoc-vien-kinh-te-viet-nam.html,vie.vass.gov.vn,"May 20, 2024 ... Viện Kinh tế Việt Nam thông báo giải thể Trung tâm Kinh tế xanh và Phát triển bền vững từ ngày 16-5-2024 ... THÔNG BÁO TUYỂN DỤNG VIÊN CHỨC (18/11 ...","May 20, 2024 <b>...</b> Viện Kinh tế Việt Nam thông báo giải thể Trung tâm Kinh tế xanh và Phát triển bền vững từ ngày 16-5-<b>2024</b> ... THÔNG BÁO <b>TUYỂN DỤNG</b> VIÊN CHỨC (18/11&nbsp;...",http://vie.vass.gov.vn/.../thong-bao-giai-the-trung-tam-kinh-te-xanh-va-pha...,http://vie.vass.gov.vn/.../thong-bao-giai-the-trung-tam-kinh-te-xanh-va-pha...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbJXHnIVTDgcthN1FZ2ZGw-Mp7o4wlGlto9m9z2wNXxArRx0sq6aUGLJRp&s', 'width': '216', 'height': '216'}]","[{'og:image': 'http://vie.vass.gov.vn/Data/ResizeImage/images/thong_baox200x200x5.png', 'copyright': 'Copyright © 2017 bepvuson.vn', 'og:site_name': 'bepvuson.vn', 'geo.region': 'Vietnamese', 'author': 'bepvuson.vn', 'og:title': 'Hành chính', 'og_type': 'article', 'language': 'vietnamese', 'article:author': 'https://www.facebook.com/bepvuson.vn', 'article:publisher': 'https://www.facebook.com/bepvuson.vn', 'fb:app_id': '732073643588940', 'og:locale:alternate': 'vi_VN', 'viewport': 'width=device-width, initial-scale=1', 'og:url': 'http://vie.vass.gov.vn/vn/thong-bao-giai-the-trung-tam-kinh-te-xanh-va-phat-trien-ben-vung-thuoc-vien-kinh-te-viet-nam.html'}]",[{'src': 'http://vie.vass.gov.vn/Data/ResizeImage/images/thong_baox200x200x5.png'}],
4,customsearch#result,Viện Kinh tế Việt Nam,Viện Kinh tế Việt Nam,http://vie.vass.gov.vn/,vie.vass.gov.vn,"... 2024, tại trụ sở số 1 Liễu Giai, Ba Đình, Hà Nội, Viện Kinh tế Việt Nam ... THÔNG BÁO TUYỂN DỤNG VIÊN CHỨC. (18/11/2021 5:09:49 CH). Lễ ký kết Quy chế ...","... <b>2024</b>, tại trụ sở số 1 Liễu Giai, Ba Đình, Hà Nội, Viện Kinh tế Việt Nam ... THÔNG BÁO <b>TUYỂN DỤNG</b> VIÊN CHỨC. (18/11/2021 5:09:49 CH). Lễ ký kết Quy chế&nbsp;...",http://vie.vass.gov.vn/,http://vie.vass.gov.vn/,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTb66ZVxYW6NEbD4RDnjABdO7y06YeaH8Io9xb-bqDlJX3zeMjx04FNSNTT&s', 'width': '259', 'height': '194'}]","[{'copyright': 'Copyright © 2018 elisa.vn', 'og:site_name': 'elisa.vn', 'geo.region': 'Vietnamese', 'author': 'elisa.vn', 'og:title': 'Viện Kinh tế Việt Nam', 'og_type': 'article', 'language': 'vietnamese', 'article:author': 'https://www.facebook.com/elisa.vn', 'article:publisher': 'https://www.facebook.com/elisa.vn', 'fb:app_id': '732073643588940', 'og:locale:alternate': 'vi_VN', 'viewport': 'width=device-width, initial-scale=1', 'og:url': 'http://vie.vass.gov.vn/vn/default.html'}]",[{'src': 'http://vie.vass.gov.vn/Data/upload/images/0f6fc1aedcf779a920e624.jpg'}],
5,customsearch#result,Thông báo kết quả tuyển dụng viên chức Viện Khoa học xã hội ...,Thông báo kết quả <b>tuyển dụng</b> viên chức Viện Khoa học xã hội ...,https://vass.gov.vn/tin-tuc-dao-tao/Thong-bao-ket-qua-tuyen-dung-vien-chuc-Vien-Khoa-hoc-xa-hoi-Vung-Trung-Bo-611,vass.gov.vn,"May 23, 2022 ... 2024. Đề tài luận án. Tiêu đề: Tái cơ cấu công nghiệp Hà Nội theo hướng phát triển bền vững. Mã đề tài: 62.31.01.01. Người thực hiện: Đặng Thị ...","May 23, 2022 <b>...</b> <b>2024</b>. Đề tài luận án. Tiêu đề: Tái cơ cấu công nghiệp Hà Nội theo hướng phát triển bền vững. Mã đề tài: 62.31.01.01. Người thực hiện: Đặng Thị&nbsp;...",https://vass.gov.vn/.../Thong-bao-ket-qua-tuyen-dung-vien-chuc-Vien-Kho...,https://vass.gov.vn/.../Thong-bao-ket-qua-tuyen-dung-vien-chuc-Vien-Kho...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1cx0XjmXrxRHCvwZr4c1veV1v_gCIa2H00hqlvWQFxv1_Fm2Q4CizMiY&s', 'width': '209', 'height': '174'}]","[{'og:image': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Logovien/logo320x320.png', 'twitter:card': 'article', 'twitter:title': 'Thông báo kết quả tuyển dụng viên chức Viện Khoa học xã hội Vùng Trung Bộ', 'og:type': 'article', 'thumbnail': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Logovien/_t/logo320x320_png.jpg', 'og:site_name': 'VIỆN HÀN LÂM KHOA HỌC XÃ HỘI VIỆT NAM', 'og:title': 'Thông báo kết quả tuyển dụng viên chức Viện Khoa học xã hội Vùng Trung Bộ', 'progid': 'SharePoint.WebPartPage.Document', 'twitter:creator': 'https://vass.gov.vn', 'twitter:image': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Logovien/logo320x320.png', 'og:image:secure_url': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Logovien/logo320x320.png', 'twitter:site': 'VIỆN HÀN LÂM KHOA HỌC XÃ HỘI VIỆT NAM', 'viewport': 'width=device-width, initial-scale=1.0', 'og:locale': 'vi_VN', 'og:url': 'https://vass.gov.vn/tin-tuc-dao-tao/Thong-bao-ket-qua-tuyen-dung-vien-chuc-Vien-Khoa-hoc-xa-hoi-Vung-Trung-Bo-611', 'format-detection': 'telephone=no'}]",[{'src': 'https://vass.gov.vn/noidung/lienketquangcao/AnhQuangCao/CMT_862_left_banner%20_daotao%20(1).jpg'}],[{'src': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Logovien/_t/logo320x320_png.jpg'}]
6,customsearch#result,Quản lý chất thải rắn sinh hoạt theo mô hình kinh tế tuần hoàn tại ...,Quản lý chất thải rắn sinh hoạt theo mô hình kinh tế tuần hoàn tại ...,https://vass.gov.vn/tin-tuc-dao-tao/Quan-ly-chat-thai-ran-sinh-hoat-theo-mo-hinh-kinh-te-tuan-hoan-tai-huyen-Con-Dao-620,vass.gov.vn,"Jul 16, 2024 ... Trong khuôn khổ Nhiệm vụ bảo vệ môi trường năm 2024, ngày 15 tháng 7 năm 2024 ... Thông báo kết quả tuyển dụng viên chức Viện Khoa học xã hội Vùng ...","Jul 16, 2024 <b>...</b> Trong khuôn khổ Nhiệm vụ bảo vệ môi trường năm <b>2024</b>, ngày 15 tháng 7 năm <b>2024</b> ... Thông báo kết quả <b>tuyển dụng</b> viên chức Viện Khoa học xã hội Vùng&nbsp;...",https://vass.gov.vn/.../Quan-ly-chat-thai-ran-sinh-hoat-theo-mo-hinh-kinh-t...,https://vass.gov.vn/.../Quan-ly-chat-thai-ran-sinh-hoat-theo-mo-hinh-kinh-t...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ717y7zUYZtBTjkgJmKW1i74lPe1uOtbJ23u8AyZZ3BaImdhD_CGq6odM&s', 'width': '329', 'height': '153'}]","[{'og:image': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Anh%20Khoat%202017/Khoat%202023/MrKhoat%202024/đ-16.7.2024-1.png', 'twitter:card': 'article', 'twitter:title': 'Quản lý chất thải rắn sinh hoạt theo mô hình kinh tế tuần hoàn tại huyện Côn Đảo', 'og:type': 'article', 'thumbnail': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Anh%20Khoat%202017/Khoat%202023/MrKhoat%202024/_t/đ-16.7.2024-1_png.jpg', 'og:site_name': 'VIỆN HÀN LÂM KHOA HỌC XÃ HỘI VIỆT NAM', 'og:title': 'Quản lý chất thải rắn sinh hoạt theo mô hình kinh tế tuần hoàn tại huyện Côn Đảo', 'progid': 'SharePoint.WebPartPage.Document', 'twitter:creator': 'https://vass.gov.vn', 'og:description': 'Trong khuôn khổ Nhiệm vụ bảo vệ môi trường năm 2024, ngày 15 tháng 7 năm 2024, Viện Địa lý nhân văn (Viện Hàn lâm Khoa học xã hội Việt Nam) phối hợp với UBND huyện Côn Đảo tổ chức Hội thảo - Tập huấn, nâng cao nhận thức cộng đồng về thực hiện quy định phân loại rác tại nguồn, thu gom, vận chuyển, xử lý rác sinh hoạt dựa vào cộng đồng trên địa bàn huyện Côn Đảo.', 'twitter:image': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Anh%20Khoat%202017/Khoat%202023/MrKhoat%202024/đ-16.7.2024-1.png', 'og:image:secure_url': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Anh%20Khoat%202017/Khoat%202023/MrKhoat%202024/đ-16.7.2024-1.png', 'twitter:site': 'VIỆN HÀN LÂM KHOA HỌC XÃ HỘI VIỆT NAM', 'viewport': 'width=device-width, initial-scale=1.0', 'twitter:description': 'Trong khuôn khổ Nhiệm vụ bảo vệ môi trường năm 2024, ngày 15 tháng 7 năm 2024, Viện Địa lý nhân văn (Viện Hàn lâm Khoa học xã hội Việt Nam) phối hợp với UBND huyện Côn Đảo tổ chức Hội thảo - Tập huấn, nâng cao nhận thức cộng đồng về thực hiện quy định phân loại rác tại nguồn, thu gom, vận chuyển, xử lý rác sinh hoạt dựa vào cộng đồng trên địa bàn huyện Côn Đảo.', 'og:locale': 'vi_VN', 'og:url': 'https://vass.gov.vn/tin-tuc-dao-tao/Quan-ly-chat-thai-ran-sinh-hoat-theo-mo-hinh-kinh-te-tuan-hoan-tai-huyen-Con-Dao-620', 'format-detection': 'telephone=no'}]",[{'src': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Anh%20Khoat%202017/Khoat%202023/MrKhoat%202024/%C4%91-16.7.2024-1.png'}],[{'src': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Anh%20Khoat%202017/Khoat%202023/MrKhoat%202024/_t/đ-16.7.2024-1_png.jpg'}]
7,customsearch#result,Thông báo kết quả tuyển dụng viên chức Viện Khoa học xã hội ...,Thông báo kết quả <b>tuyển dụng</b> viên chức Viện Khoa học xã hội ...,https://vass.gov.vn/noidung/daotaosaudaihoc/Pages/tin-tuc-dao-tao.aspx?ItemID=611,vass.gov.vn,"May 23, 2022 ... Viện Hàn lâm Khoa học xã hội Việt Nam trân trọng Thông báo kết quả tuyển dụng viên chức Viện Khoa học xã hội Vùng Trung Bộ năm 2022, cụ thể như ...","May 23, 2022 <b>...</b> Viện Hàn lâm Khoa học xã hội Việt Nam trân trọng Thông báo kết quả <b>tuyển dụng</b> viên chức Viện Khoa học xã hội Vùng Trung Bộ năm 2022, cụ thể như&nbsp;...",https://vass.gov.vn/noidung/daotaosaudaihoc/Pages/tin-tuc-dao-tao.aspx?...,https://vass.gov.vn/noidung/daotaosaudaihoc/Pages/tin-tuc-dao-tao.aspx?...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpRNTitq63s60oim_puD_LiO_fxKTb23cjSfwn8i8iFn0LMPRARNiCbGg&s', 'width': '209', 'height': '174'}]","[{'twitter:card': 'article', 'twitter:title': 'Viện Hàn Lâm Khoa Học Xã Hội Việt Nam', 'og:type': 'article', 'og:site_name': 'Viện Hàn Lâm Khoa Học Xã Hội Việt Nam', 'geo.region': 'VN-HN', 'og:title': 'Viện Hàn Lâm Khoa Học Xã Hội Việt Nam', 'progid': 'SharePoint.WebPartPage.Document', 'geo.position': '21.037468;105.817602', 'twitter:creator': 'https://vass.gov.vn', 'og:description': 'Viện Hàn lâm Khoa học Xã hội Việt Nam (tên giao dịch quốc tế: Vietnam Academy of Social Sciences, VASS) là cơ quan thuộc chính phủ Việt Nam, có chức năng nghiên cứu những vấn đề cơ bản về khoa học xã hội Việt Nam; cung cấp luận cứ khoa học cho việc hoạch định đường lối, chiến lược, quy hoạch và chính sách phát triển nhanh, bền vững theo định hướng xã hội chủ nghĩa; tổ chức tư vấn và đào tạo sau đại học về khoa học xã hội; tham gia phát triển tiềm lực khoa học xã hội của cả nước.', 'twitter:site': 'Viện Hàn Lâm Khoa Học Xã Hội Việt Nam', 'icbm': '21.037468, 105.817602', 'viewport': 'width=device-width, initial-scale=1.0', 'twitter:description': 'Viện Hàn lâm Khoa học Xã hội Việt Nam (tên giao dịch quốc tế: Vietnam Academy of Social Sciences, VASS) là cơ quan thuộc chính phủ Việt Nam, có chức năng nghiên cứu những vấn đề cơ bản về khoa học xã hội Việt Nam; cung cấp luận cứ khoa học cho việc hoạch định đường lối, chiến lược, quy hoạch và chính sách phát triển nhanh, bền vững theo định hướng xã hội chủ nghĩa; tổ chức tư vấn và đào tạo sau đại học về khoa học xã hội; tham gia phát triển tiềm lực khoa học xã hội của cả nước.', 'og:locale': 'vi_VN', 'og:url': 'https://vass.gov.vn', 'geo.placename': 'Hà Nội', 'format-detection': 'telephone=no'}]",[{'src': 'https://vass.gov.vn/noidung/lienketquangcao/AnhQuangCao/left_banner%20(24).jpg'}],
8,customsearch#result,Viện Hàn lâm Khoa học xã hội Việt Nam thông báo tuyển dụng viên ...,Viện Hàn lâm Khoa học xã hội Việt Nam thông báo <b>tuyển dụng</b> viên ...,https://vass.gov.vn/tin-tuc-dao-tao/Vien-Han-lam-Khoa-hoc-xa-hoi-Viet-Nam-thong-bao-tuyen-dung-vien-chuc-584,vass.gov.vn,"Mar 3, 2021 ... Hình thức tuyển dụng: Xét tuyển. 5.Thời gian nhận hồ sơ: Trong giờ ... 2024. Đề tài luận án. Tiêu đề: Tái cơ cấu công nghiệp Hà Nội theo ...","Mar 3, 2021 <b>...</b> Hình thức <b>tuyển dụng</b>: Xét tuyển. 5.Thời gian nhận hồ sơ: Trong giờ ... <b>2024</b>. Đề tài luận án. Tiêu đề: Tái cơ cấu công nghiệp Hà Nội theo&nbsp;...",https://vass.gov.vn/.../Vien-Han-lam-Khoa-hoc-xa-hoi-Viet-Nam-thong-ba...,https://vass.gov.vn/.../Vien-Han-lam-Khoa-hoc-xa-hoi-Viet-Nam-thong-ba...,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1cx0XjmXrxRHCvwZr4c1veV1v_gCIa2H00hqlvWQFxv1_Fm2Q4CizMiY&s', 'width': '209', 'height': '174'}]","[{'og:image': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Logovien/logo320x320.png', 'twitter:card': 'article', 'twitter:title': 'Viện Hàn lâm Khoa học xã hội Việt Nam thông báo tuyển dụng viên chức', 'og:type': 'article', 'thumbnail': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Logovien/_t/logo320x320_png.jpg', 'og:site_name': 'VIỆN HÀN LÂM KHOA HỌC XÃ HỘI VIỆT NAM', 'og:title': 'Viện Hàn lâm Khoa học xã hội Việt Nam thông báo tuyển dụng viên chức', 'progid': 'SharePoint.WebPartPage.Document', 'twitter:creator': 'https://vass.gov.vn', 'twitter:image': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Logovien/logo320x320.png', 'og:image:secure_url': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Logovien/logo320x320.png', 'twitter:site': 'VIỆN HÀN LÂM KHOA HỌC XÃ HỘI VIỆT NAM', 'viewport': 'width=device-width, initial-scale=1.0', 'og:locale': 'vi_VN', 'og:url': 'https://vass.gov.vn/tin-tuc-dao-tao/Vien-Han-lam-Khoa-hoc-xa-hoi-Viet-Nam-thong-bao-tuyen-dung-vien-chuc-584', 'format-detection': 'telephone=no'}]",[{'src': 'https://vass.gov.vn/noidung/lienketquangcao/AnhQuangCao/CMT_862_left_banner%20_daotao%20(1).jpg'}],[{'src': 'https://vass.gov.vn/noidung/tintuc/PublishingImages/Logovien/_t/logo320x320_png.jpg'}]
9,customsearch#result,Untitled,Untitled,https://vass.gov.vn/UserControls/News/pSEOPageDetail.aspx?UrlListProcess=/noidung/tintuc/Lists/DaoTaoSauDaiHoc&ItemID=621&UrlPageDetails=tin-tuc-dao-tao&RowLimit=10,vass.gov.vn,Quản lý chất thải rắn sinh hoạt theo mô hình kinh tế tuần hoàn tại huyện Côn Đảo (16/07/2024) ... Thông báo kết quả tuyển dụng viên chức Viện Khoa học xã hội Vùng ...,Quản lý chất thải rắn sinh hoạt theo mô hình kinh tế tuần hoàn tại huyện Côn Đảo (16/07/<b>2024</b>) ... Thông báo kết quả <b>tuyển dụng</b> viên chức Viện Khoa học xã hội Vùng&nbsp;...,https://vass.gov.vn/UserControls/.../pSEOPageDetail.aspx?...tin...,https://vass.gov.vn/UserControls/.../pSEOPageDetail.aspx?...tin...,,,,
