,kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,pagemap.cse_thumbnail,pagemap.metatags,pagemap.cse_image,pagemap.Article,mime,fileFormat
0,customsearch#result,Trang chủ - Cổng thông tin Tổng cục Quản lý thị trường,Trang chủ - Cổng thông tin Tổng cục Quản lý thị trường,https://vietnamtourism.gov.vn/index.php/clicks/555,vietnamtourism.gov.vn,"Long An: Tạm giữ gần 250 vỏ chai LPG nghi chiếm dụng trái phép. Ngày 24/7/2024, trên địa bàn phường 5, thành phố Tân An, Đội QLTT số 3, Cục QLTT Long An kiểm ...","Long An: Tạm giữ gần 250 vỏ chai LPG nghi chiếm <b>dụng</b> trái phép. Ngày 24/7/<b>2024</b>, trên địa bàn phường 5, thành phố Tân An, Đội QLTT số 3, Cục QLTT Long An kiểm&nbsp;...",https://vietnamtourism.gov.vn/index.php/clicks/555,https://vietnamtourism.gov.vn/index.php/clicks/555,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6wDaP9m6FA_OQqnSHRBsmupJEqcMv1LUZ5OzFFg-6D2pWjQUdV0uUWg&s=0', 'width': '150', 'height': '113'}]","[{'og:location': 'vi-VN', 'og:type': 'website', 'copyright': 'Cổng thông tin Tổng cục Quản lý thị trường', 'og:site_name': 'Cổng thông tin Tổng cục Quản lý thị trường', 'viewport': 'initial-scale=1.0, width=device-width', 'author': 'Cổng thông tin Tổng cục Quản lý thị trường', 'og:title': 'Trang chủ', 'language': 'Vietnamese,English', 'source': 'Cổng thông tin Tổng cục Quản lý thị trường', 'og:description': 'Cổng thông tin Tổng cục Quản lý thị trường'}]",[{'src': 'https://dms.gov.vn/documents/48522/65504249/29_Jul_2024_010952_GMT29_Jul_2024_010952_GMTGAS.D3.png/3440098f-37ce-4ee4-b59f-30218a84952f'}],,,
1,customsearch#result,VƯỜN QUỐC GIA BA VÌ – Điểm du lịch siêu chất gần trung tâm thủ đô,VƯỜN QUỐC GIA BA VÌ – Điểm du lịch siêu chất gần trung tâm thủ đô,https://vietnamtourism.gov.vn/index.php/clicks/230,vietnamtourism.gov.vn,"... 2024, đại [...] 28. Th7. Thông báo tuyển dụng lao động hợp đồng năm 2024. 11. Th6. Vườn quốc gia Ba Vì trao quỹ khuyến học năm 2024. Nhân dịp kết thúc năm học ...","... <b>2024</b>, đại [...] 28. Th7. Thông báo <b>tuyển dụng</b> lao động hợp đồng năm <b>2024</b>. 11. Th6. Vườn quốc gia Ba Vì trao quỹ khuyến học năm <b>2024</b>. Nhân dịp kết thúc năm học&nbsp;...",https://vietnamtourism.gov.vn/index.php/clicks/230,https://vietnamtourism.gov.vn/index.php/clicks/230,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVAlhjzfJOcYw0Q_F52gQ4D7aaJkesUu2in51yv0YNwpjYCXYmAV1Dufsv&s', 'width': '275', 'height': '183'}]","[{'viewport': 'width=device-width, initial-scale=1', 'msapplication-tileimage': 'https://vuonquocgiabavi.com.vn/wp-content/uploads/2020/10/cropped-LOGO1-270x270.png'}]",[{'src': 'https://vuonquocgiabavi.com.vn/wp-content/uploads/2022/03/Vuon-ba-vi--scaled.jpg'}],,,
2,customsearch#result,Trường Trung Cấp Nghề Du lịch Hà Nội,Trường Trung Cấp Nghề Du lịch Hà Nội,https://vietnamtourism.gov.vn/index.php/clicks/465,vietnamtourism.gov.vn,"Đầu Bếp Chuyên Nghiệp: Nghệ Thuật Và Sự Sáng Tạo Trong Ẩm Thực. 01/01/2024 ... Thông Báo Tuyển Dụng Cán Bộ Quản Lý, Giáo Viên Cơ Hữu Khoa Lữ Hành. 26/03 ...","Đầu Bếp Chuyên Nghiệp: Nghệ Thuật Và Sự Sáng Tạo Trong Ẩm Thực. 01/01/<b>2024</b> ... Thông Báo <b>Tuyển Dụng</b> Cán Bộ Quản Lý, Giáo Viên Cơ Hữu Khoa Lữ Hành. 26/03&nbsp;...",https://vietnamtourism.gov.vn/index.php/clicks/465,https://vietnamtourism.gov.vn/index.php/clicks/465,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnFOMFs8_goey7qvuXX26moRTDnf01uFaBdtea6sPswxqAEV6fpdRi4ek&s', 'width': '311', 'height': '162'}]","[{'og:image': 'https://hhtc.edu.vn/wp-content/uploads/2019/05/1200x628-Tuyen-sinh-hoc-nghe-du-lich.png', 'og:type': 'website', 'og:image:width': '1200', 'og:image:alt': 'Trang chủ', 'article:published_time': '2018-03-21T09:40:57+07:00', 'twitter:card': 'summary_large_image', 'twitter:title': 'Truờng Trung cấp Du lịch Hà Nội - Đào tạo chuyên nghề du lịch', 'og:site_name': 'Trường Trung Cấp Nghề Du lịch Hà Nội', 'og:title': 'Truờng Trung cấp Du lịch Hà Nội - Đào tạo chuyên nghề du lịch', 'og:image:height': '628', 'twitter:label1': 'Written by', 'twitter:label2': 'Time to read', 'og:image:type': 'image/png', 'og:updated_time': '2024-01-26T14:30:30+07:00', 'msapplication-tileimage': 'https://hhtc.edu.vn/wp-content/uploads/2020/01/cropped-cropped-cropped-Logo-resize-1-270x270.png', 'og:image:secure_url': 'https://hhtc.edu.vn/wp-content/uploads/2019/05/1200x628-Tuyen-sinh-hoc-nghe-du-lich.png', 'twitter:image': 'https://hhtc.edu.vn/wp-content/uploads/2019/05/1200x628-Tuyen-sinh-hoc-nghe-du-lich.png', 'twitter:data1': 'Admin', 'twitter:data2': '3 minutes', 'article:modified_time': '2024-01-26T14:30:30+07:00', 'viewport': 'width=device-width, initial-scale=1', 'og:locale': 'vi_VN', 'fb:admins': '1364321617', 'og:url': 'https://hhtc.edu.vn/'}]",[{'src': 'https://hhtc.edu.vn/wp-content/uploads/2019/05/1200x628-Tuyen-sinh-hoc-nghe-du-lich.png'}],[{}],,
3,customsearch#result,"Trang Chủ | Sở Văn hóa, thể thao và du lịch","Trang Chủ | Sở Văn hóa, thể thao và du lịch",https://vietnamtourism.gov.vn/index.php/clicks/557,vietnamtourism.gov.vn,"THÔNG BÁO · Trường Chính trị Tôn Đức Thắng Thông báo tuyển sinh đào tạo, bồi dưỡng công chức, viên chức 2024. 15/01/2024 · Ra mắt câu lạc bộ đờn ca tài tử và ...","THÔNG BÁO &middot; Trường Chính trị Tôn Đức Thắng Thông báo <b>tuyển</b> sinh đào tạo, bồi dưỡng công chức, viên chức <b>2024</b>. 15/01/<b>2024</b> &middot; Ra mắt câu lạc bộ đờn ca tài tử và&nbsp;...",https://vietnamtourism.gov.vn/index.php/clicks/557,https://vietnamtourism.gov.vn/index.php/clicks/557,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI1cM96V36_UJ4tCbBynkIvldxENeZFzVJjlx-VZCubmjlmr1odGqH7NxX&s', 'width': '300', 'height': '168'}]","[{'handheldfriendly': 'true', 'viewport': 'width=device-width, initial-scale=1.0', 'mobileoptimized': 'width'}]",[{'src': 'https://i.ytimg.com/vi/iN7craXifeI/maxresdefault.jpg'}],,,
4,customsearch#result,Du lịch là một trong những ngành mở ra nhiều cơ hội việc làm nhất ...,Du lịch là một trong những ngành mở ra nhiều cơ hội việc làm nhất ...,https://vietnamtourism.gov.vn/post/34549,vietnamtourism.gov.vn,"... 2024 của Khoa Du lịch, Trường Đại học Mở Hà Nội mới đây ... Tuy nhiên dưới góc độ nhà tuyển dụng, ông Lương khuyên sinh viên du lịch cần ...","... <b>2024</b> của Khoa Du lịch, Trường Đại học Mở Hà Nội mới đây ... Tuy nhiên dưới góc độ nhà <b>tuyển dụng</b>, ông Lương khuyên sinh viên du lịch cần&nbsp;...",https://vietnamtourism.gov.vn/post/34549,https://vietnamtourism.gov.vn/post/34549,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdTAWNK7_mSWmEe8JV5YER9rs2TuWO_8Ofy3-iljA3yuXWlrbf0KpqOlDe&s', 'width': '256', 'height': '197'}]","[{'country': 'VietNam', 'og:image': 'https://images.vietnamtourism.gov.vn/vn/images/2019/CNMN/28.10.Du_lich_la_mot_trong_nhung_nganh_mo_ra_nhieu_co_hoi_viec_lam_nhat_1.jpg', 'copyright': 'TITC', 'twitter:card': 'summary_large_image', 'og:site_name': 'Du lịch là một trong những ngành mở ra nhiều cơ hội việc làm nhất - Cục Du lịch Quốc Gia Việt Nam', 'document-distribution': 'Global', 'section': 'Tin tức - Sự kiện', 'source': 'Cục Du lịch Quốc Gia Việt Nam', 'distribution': 'Global', 'placename': 'Vietnam', 'twitter:creator': 'TITC', 'og:description': '“Sinh viên tốt nghiệp khoa Du lịch Trường Đại học Mở Hà Nội nộp hồ sơ là chúng tôi sẽ tuyển dụng ngay, không cần phỏng vấn” - đó là khẳng định của ông Trần Ngọc Lương - Giám đốc Công ty U-Shine Việt Nam, Tổng quản lý khách sạn Phát Linh-Hạ Long tại buổi gặp mặt, định hướng nghề cho tân sinh viên khóa 2020-2024 của Khoa Du lịch, Trường Đại học Mở Hà Nội mới đây.', 'twitter:site': 'https://vietnamtourism.gov.vn/post/34549', 'document-rating': 'General', 'email': 'contact@vietnamtourism.gov.vn', 'lastmod': '2020-10-28T09:48:34+07:00', 'pubdate': '2020-10-28T09:06:17+07:00', 'application-name': 'vietnamtourism.gov.vn', 'area': 'VietNam', 'owner': 'vietnamtourism.gov.vn', 'article:section': 'Tin tức - Sự kiện', 'twitter:title': 'Du lịch là một trong những ngành mở ra nhiều cơ hội việc làm nhất - Cục Du lịch Quốc Gia Việt Nam', 'og:type': 'article', 'og:image:url': 'https://images.vietnamtourism.gov.vn/vn/images/2019/CNMN/28.10.Du_lich_la_mot_trong_nhung_nganh_mo_ra_nhieu_co_hoi_viec_lam_nhat_1.jpg', 'og:title': 'Du lịch là một trong những ngành mở ra nhiều cơ hội việc làm nhất - Cục Du lịch Quốc Gia Việt Nam', 'classification': 'Vietnam', 'viewport': 'width=device-width,initial-scale=1,minimum-scale=1', 'twitter:description': '“Sinh viên tốt nghiệp khoa Du lịch Trường Đại học Mở Hà Nội nộp hồ sơ là chúng tôi sẽ tuyển dụng ngay, không cần phỏng vấn” - đó là khẳng định của ông Trần Ngọc Lương - Giám đốc Công ty U-Shine Việt Nam, Tổng quản lý khách sạn Phát Linh-Hạ Long tại buổi gặp mặt, định hướng nghề cho tân sinh viên khóa 2020-2024 của Khoa Du lịch, Trường Đại học Mở Hà Nội mới đây.', 'resource-type': 'Document', 'og:url': 'https://vietnamtourism.gov.vn/post/34549'}]",[{'src': 'https://images.vietnamtourism.gov.vn/vn/images/2019/CNMN/28.10.Du_lich_la_mot_trong_nhung_nganh_mo_ra_nhieu_co_hoi_viec_lam_nhat_1.jpg'}],,,
5,customsearch#result,Thông báo thi tuyển viên chức - Cục Du lịch Quốc Gia Việt Nam,Thông báo thi <b>tuyển</b> viên chức - Cục Du lịch Quốc Gia Việt Nam,https://vietnamtourism.gov.vn/post/22829,vietnamtourism.gov.vn,(TITC) – Tổng cục Du lịch thông báo thi tuyển viên chức làm việc tại các đơn vị sự nghiệp của Tổng cục Du lịch.,(TITC) – Tổng cục Du lịch thông báo thi <b>tuyển</b> viên chức làm việc tại các đơn vị sự nghiệp của Tổng cục Du lịch.,https://vietnamtourism.gov.vn/post/22829,https://vietnamtourism.gov.vn/post/22829,,"[{'country': 'VietNam', 'copyright': 'TITC', 'twitter:card': 'summary_large_image', 'og:site_name': 'Thông báo thi tuyển viên chức  - Cục Du lịch Quốc Gia Việt Nam', 'document-distribution': 'Global', 'section': 'Tin tức - Sự kiện', 'source': 'Cục Du lịch Quốc Gia Việt Nam', 'distribution': 'Global', 'placename': 'Vietnam', 'twitter:creator': 'TITC', 'og:description': '(TITC) – Tổng cục Du lịch thông báo thi tuyển viên chức làm việc tại các đơn vị sự nghiệp của Tổng cục Du lịch.', 'twitter:site': 'https://vietnamtourism.gov.vn/post/22829', 'document-rating': 'General', 'email': 'contact@vietnamtourism.gov.vn', 'lastmod': '2017-04-14T09:11:27+07:00', 'pubdate': '2017-02-22T09:16:42+07:00', 'application-name': 'vietnamtourism.gov.vn', 'area': 'VietNam', 'owner': 'vietnamtourism.gov.vn', 'article:section': 'Đào tạo, tổ chức cán bộ', 'twitter:title': 'Thông báo thi tuyển viên chức  - Cục Du lịch Quốc Gia Việt Nam', 'og:type': 'article', 'og:title': 'Thông báo thi tuyển viên chức  - Cục Du lịch Quốc Gia Việt Nam', 'classification': 'Vietnam', 'viewport': 'width=device-width,initial-scale=1,minimum-scale=1', 'twitter:description': '(TITC) – Tổng cục Du lịch thông báo thi tuyển viên chức làm việc tại các đơn vị sự nghiệp của Tổng cục Du lịch.', 'resource-type': 'Document', 'og:url': 'https://vietnamtourism.gov.vn/post/22829'}]",,,,
6,customsearch#result,ASTA GIẢI THƯỞNG DU LỊCH BỀN VỮNG ASEAN MẪU ĐĂNG KÝ ...,ASTA GIẢI THƯỞNG DU LỊCH BỀN VỮNG ASEAN MẪU ĐĂNG KÝ ...,https://images.vietnamtourism.gov.vn/vn/dmdocuments/2023/giai_thuong_asean_2024/6.1bang_tu_danh_gia_san_pham_du_lich_ben_vung_asean_asta.docx,images.vietnamtourism.gov.vn,Chủ đề của giải thưởng 2024-2026: “Du lịch Ẩm thực” ... Các nhà cung cấp thực phẩm và đồ uống phải tuyển dụng và sử dụng nhân viên từ cộng đồng địa phương.,Chủ đề của giải thưởng <b>2024</b>-2026: “Du lịch Ẩm thực” ... Các nhà cung cấp thực phẩm và đồ uống phải <b>tuyển dụng</b> và sử dụng nhân viên từ cộng đồng địa phương.,https://images.vietnamtourism.gov.vn/...2024/6.1bang_tu_danh_gia_san_p...,https://images.vietnamtourism.gov.vn/...<b>2024</b>/6.1bang_tu_danh_gia_san_p...,,"[{'creation date': '7/30/2023 05:04:00', 'count paragraphs': '57', 'links up to date': 'no', 'application version': '16.0000', 'edit minutes': '1', 'author': 'welcome', 'source': 'Microsoft Office Word', 'count lines': '202', 'revision number': '2', 'links dirty': 'no', 'security': '0', 'shared doc': 'no', 'scale crop': 'no', 'count characters with space': '28568', 'document template': 'Normal.dotm', 'company': 'Microsoft', 'ksoproductbuildver': '1033-11.2.0.11537', 'last saved date': '7/30/2023 05:04:00', 'character count': '24353', 'icv': '207AB597BE284F8FA1351BA2771AA1FF', 'last saved by': 'Andrew Quach', 'page count': '19', 'word count': '4272'}]",,,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Microsoft Word
7,customsearch#result,TRUNG TÂM XÚC TIẾN ĐẦU TƯ THƯƠNG MẠI VÀ DU LỊCH LÂM ...,TRUNG TÂM XÚC TIẾN ĐẦU TƯ THƯƠNG MẠI VÀ DU LỊCH LÂM ...,https://vietnamtourism.gov.vn/index.php/clicks/572,vietnamtourism.gov.vn,"Tuyển dụng 2023 · Chuyển Đổi Số · Danh bạ · Hỏi đáp · Tin tức · Đầu tư · Cụm công nghiệp ... Vĩnh biệt một nhân cách lớn, trọn đời vì dân. 25/07/2024; 10:01. Tổng ...","<b>Tuyển dụng</b> 2023 &middot; Chuyển Đổi Số &middot; Danh bạ &middot; Hỏi đáp &middot; Tin tức &middot; Đầu tư &middot; Cụm công nghiệp ... Vĩnh biệt một nhân cách lớn, trọn đời vì dân. 25/07/<b>2024</b>; 10:01. Tổng&nbsp;...",https://vietnamtourism.gov.vn/index.php/clicks/572,https://vietnamtourism.gov.vn/index.php/clicks/572,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9GbYL3kPgyh1eUqUwcr21xiTafJufylZeD2PKeJcBOk9fvKDgt5Qrj3E&s', 'width': '322', 'height': '157'}]","[{'og:image:width': '600', 'viewport': 'width=device-width, initial-scale=1', 'author': 'TRUNG TÂM XÚC TIẾN ĐẦU TƯ THƯƠNG MẠI VÀ DU LỊCH LÂM ĐỒNG', 'og:image:height': '315', 'og:image:type': 'image/png'}]",[{'src': 'https://dalat-info.gov.vn:444/uploads/20240116145557b%C3%ACa%201.jpg'}],,,
8,customsearch#result,Ra mắt Hiệp hội Dạy nghề và Việc làm Đầu bếp Việt Nam - Cục Du ...,Ra mắt Hiệp hội Dạy nghề và Việc làm Đầu bếp Việt Nam - Cục Du ...,https://vietnamtourism.gov.vn/post/55474,vietnamtourism.gov.vn,"... (TITC) - Sáng ngày 26/3, tại Hà Nội đã diễn ra Đại hội thành lập Hiệp hội Dạy nghề và Việc làm Đầu bếp Việt Nam nhiệm kỳ 2024 - 2029 ... Tuy nhiên, năng lực tuyển ...","... (TITC) - Sáng ngày 26/3, tại Hà Nội đã diễn ra Đại hội thành lập Hiệp hội Dạy nghề và Việc làm Đầu bếp Việt Nam nhiệm kỳ <b>2024</b> - 2029 ... Tuy nhiên, năng lực <b>tuyển</b>&nbsp;...",https://vietnamtourism.gov.vn/post/55474,https://vietnamtourism.gov.vn/post/55474,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-t6igRFJ3OSfZBbcoKz-VUTMFFORRQY9ytGFv6E_ZDsMqzmAqDnS8HYjT&s', 'width': '273', 'height': '185'}]","[{'country': 'VietNam', 'og:image': 'https://images.vietnamtourism.gov.vn/vn/images/2024/thang_3/ces_6453.dhdb.jpg', 'copyright': 'TITC', 'twitter:card': 'summary_large_image', 'og:site_name': 'Ra mắt Hiệp hội Dạy nghề và Việc làm Đầu bếp Việt Nam - Cục Du lịch Quốc Gia Việt Nam', 'document-distribution': 'Global', 'section': 'Tin tức - Sự kiện', 'source': 'Cục Du lịch Quốc Gia Việt Nam', 'distribution': 'Global', 'placename': 'Vietnam', 'twitter:creator': 'TITC', 'og:description': '(TITC) - Sáng ngày 26/3, tại Hà Nội đã diễn ra Đại hội thành lập Hiệp hội Dạy nghề và Việc làm Đầu bếp Việt Nam nhiệm kỳ 2024 - 2029. Phó Cục trưởng Cục Du lịch Quốc gia Việt Nam Phạm Văn Thủy dự Đại hội.', 'twitter:site': 'https://vietnamtourism.gov.vn/post/55474', 'document-rating': 'General', 'email': 'contact@vietnamtourism.gov.vn', 'lastmod': '2024-03-27T11:32:13+07:00', 'pubdate': '2024-03-27T07:50:12+07:00', 'application-name': 'vietnamtourism.gov.vn', 'area': 'VietNam', 'owner': 'vietnamtourism.gov.vn', 'article:section': 'Tin tức - Sự kiện', 'twitter:title': 'Ra mắt Hiệp hội Dạy nghề và Việc làm Đầu bếp Việt Nam - Cục Du lịch Quốc Gia Việt Nam', 'og:type': 'article', 'og:image:url': 'https://images.vietnamtourism.gov.vn/vn/images/2024/thang_3/ces_6453.dhdb.jpg', 'og:title': 'Ra mắt Hiệp hội Dạy nghề và Việc làm Đầu bếp Việt Nam - Cục Du lịch Quốc Gia Việt Nam', 'classification': 'Vietnam', 'viewport': 'width=device-width,initial-scale=1,minimum-scale=1', 'twitter:description': '(TITC) - Sáng ngày 26/3, tại Hà Nội đã diễn ra Đại hội thành lập Hiệp hội Dạy nghề và Việc làm Đầu bếp Việt Nam nhiệm kỳ 2024 - 2029. Phó Cục trưởng Cục Du lịch Quốc gia Việt Nam Phạm Văn Thủy dự Đại hội.', 'resource-type': 'Document', 'og:url': 'https://vietnamtourism.gov.vn/post/55474'}]",[{'src': 'https://images.vietnamtourism.gov.vn/vn/images/2024/thang_3/ces_6453.dhdb.jpg'}],,,
9,customsearch#result,Bảo tàng Mỹ thuật Việt Nam chính thức ra mắt hệ thống vé điện tử ...,Bảo tàng Mỹ thuật Việt Nam chính thức ra mắt hệ thống vé điện tử ...,https://vietnamtourism.gov.vn/post/54294,vietnamtourism.gov.vn,"Jan 15, 2024 ... (TITC) - Sáng ngày 15/1/2024, Bảo tàng Mỹ thuật Việt Nam đã phối hợp với Cục Du lịch Quốc gia Việt Nam tổ chức Lễ ra mắt và chính thức đưa ...","Jan 15, 2024 <b>...</b> (TITC) - Sáng ngày 15/1/<b>2024</b>, Bảo tàng Mỹ thuật Việt Nam đã phối hợp với Cục Du lịch Quốc gia Việt Nam tổ chức Lễ ra mắt và chính thức đưa&nbsp;...",https://vietnamtourism.gov.vn/post/54294,https://vietnamtourism.gov.vn/post/54294,"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3zAt21-eAXHiRr30CPTqluGuKAQUQvpcy8JOuwt2ec6uYcO-qZasOvDn5&s', 'width': '300', 'height': '168'}]","[{'country': 'VietNam', 'og:image': 'https://images.vietnamtourism.gov.vn/vn/images/2024/thang_1/1501_cat_bang.jpg', 'copyright': 'TITC', 'twitter:card': 'summary_large_image', 'og:site_name': 'Bảo tàng Mỹ thuật Việt Nam chính thức ra mắt hệ thống vé điện tử ""Trực tuyến - Liên thông - Đa phương thức"" - Cục Du lịch Quốc Gia Việt Nam', 'document-distribution': 'Global', 'section': 'Tin tức - Sự kiện', 'source': 'Cục Du lịch Quốc Gia Việt Nam', 'distribution': 'Global', 'placename': 'Vietnam', 'twitter:creator': 'TITC', 'og:description': '(TITC) - Sáng ngày 15/1/2024, Bảo tàng Mỹ thuật Việt Nam đã phối hợp với Cục Du lịch Quốc gia Việt Nam tổ chức Lễ ra mắt và chính thức đưa vào sử dụng Hệ thống vé điện tử “Trực tuyến - Liên thông - Đa phương thức”.', 'twitter:site': 'https://vietnamtourism.gov.vn/post/54294', 'document-rating': 'General', 'email': 'contact@vietnamtourism.gov.vn', 'lastmod': '2024-01-16T09:17:33+07:00', 'pubdate': '2024-01-15T13:46:54+07:00', 'application-name': 'vietnamtourism.gov.vn', 'area': 'VietNam', 'owner': 'vietnamtourism.gov.vn', 'article:section': 'Hoạt động Cục DLQGVN', 'twitter:title': 'Bảo tàng Mỹ thuật Việt Nam chính thức ra mắt hệ thống vé điện tử ""Trực tuyến - Liên thông - Đa phương thức"" - Cục Du lịch Quốc Gia Việt Nam', 'og:type': 'article', 'og:image:url': 'https://images.vietnamtourism.gov.vn/vn/images/2024/thang_1/1501_cat_bang.jpg', 'og:title': 'Bảo tàng Mỹ thuật Việt Nam chính thức ra mắt hệ thống vé điện tử ""Trực tuyến - Liên thông - Đa phương thức"" - Cục Du lịch Quốc Gia Việt Nam', 'classification': 'Vietnam', 'viewport': 'width=device-width,initial-scale=1,minimum-scale=1', 'twitter:description': '(TITC) - Sáng ngày 15/1/2024, Bảo tàng Mỹ thuật Việt Nam đã phối hợp với Cục Du lịch Quốc gia Việt Nam tổ chức Lễ ra mắt và chính thức đưa vào sử dụng Hệ thống vé điện tử “Trực tuyến - Liên thông - Đa phương thức”.', 'resource-type': 'Document', 'og:url': 'https://vietnamtourism.gov.vn/post/54294'}]",[{'src': 'https://images.vietnamtourism.gov.vn/vn/images/2024/thang_1/1501_cat_bang.jpg'}],,,
