,kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,pagemap.metatags,pagemap.cse_thumbnail,pagemap.cse_image
0,customsearch#result,Thông tin tuyển dụng công chức viên chức - Cổng thông tin điện tử ...,Thông tin <b>tuyển dụng</b> công chức viên chức - Cổng thông tin điện tử ...,http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc,gialam.hanoi.gov.vn,... tuyển công chức thành phố Hà Nội năm 2024. Ngày đăng 25/06/2024 | 02:45 PM | View count: 83. Thông báo về việc triệu tập thí sinh dự thi tuyển công chức Vòng ...,... <b>tuyển</b> công chức thành phố Hà Nội năm <b>2024</b>. Ngày đăng 25/06/<b>2024</b> | 02:45 PM | View count: 83. Thông báo về việc triệu tập thí sinh dự thi <b>tuyển</b> công chức Vòng&nbsp;...,http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc,http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc,"[{'viewport': 'initial-scale=1.0, width=device-width'}]",,
1,customsearch#result,Thông tin tuyển dụng công chức viên chức - Cổng thông tin điện tử ...,Thông tin <b>tuyển dụng</b> công chức viên chức - Cổng thông tin điện tử ...,http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc?p_p_id=101&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_101_delta=5&_101_keywords=&_101_advancedSearch=false&_101_andOperator=true&p_r_p_564233524_resetCur=false&_101_cur=3,gialam.hanoi.gov.vn,"Ngày đăng 28/03/2024 | 04:20 PM | View count: 50. Thông báo nội dung ôn tập kỳ thi tuyển chức danh Hiệu trưởng trường Tiểu học Trung Mầu, Phó Hiệu trưởng ...","Ngày đăng 28/03/<b>2024</b> | 04:20 PM | View count: 50. Thông báo nội dung ôn tập kỳ thi <b>tuyển</b> chức danh Hiệu trưởng trường Tiểu học Trung Mầu, Phó Hiệu trưởng&nbsp;...",http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc?...,http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc?...,"[{'viewport': 'initial-scale=1.0, width=device-width'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7ap_JusCRoKprPi8J52MMSuWR2MzQtMGKDh_ngjpocTKPJLT8H21YpRuI&s', 'width': '183', 'height': '275'}]",[{'src': 'http://gialam.hanoi.gov.vn/documents/291387/291799/glam.jpg/60dd9938-ecfb-41bf-8a93-73e21651edac?t=1446781713587'}]
2,customsearch#result,Thông tin tuyển dụng công chức viên chức - Cổng thông tin điện tử ...,Thông tin <b>tuyển dụng</b> công chức viên chức - Cổng thông tin điện tử ...,http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc?p_p_id=101&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_101_delta=5&_101_keywords=&_101_advancedSearch=false&_101_andOperator=true&p_r_p_564233524_resetCur=false&_101_cur=19,gialam.hanoi.gov.vn,"Thông tin tuyển dụng công chức, viên chức. Thông báo Điều chỉnh, bổ sung ... (12/07/2024); Liên hoan đồng ca, hợp xướng và múa tập thể ... (12/07/2024) ...","Thông tin <b>tuyển dụng</b> công chức, viên chức. Thông báo Điều chỉnh, bổ sung ... (12/07/<b>2024</b>); Liên hoan đồng ca, hợp xướng và múa tập thể ... (12/07/<b>2024</b>)&nbsp;...",http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc?...,http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc?...,"[{'viewport': 'initial-scale=1.0, width=device-width'}]",,
3,customsearch#result,Thông tin tuyển dụng công chức viên chức - Cổng thông tin điện tử ...,Thông tin <b>tuyển dụng</b> công chức viên chức - Cổng thông tin điện tử ...,http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc?p_p_id=101&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_count=1&_101_delta=5&_101_keywords=&_101_advancedSearch=false&_101_andOperator=true&p_r_p_564233524_resetCur=false&_101_cur=6,gialam.hanoi.gov.vn,... tuyển kỳ tuyển dụng viên chức giáo dục huyện Gia Lâm năm 2023 ... Văn bản chỉ đạo của Huyện Ủy. UBND huyện Gia Lâm ký biên bản ghi nhớ xây dựng... (09/07/2024) ...,... tuyển kỳ <b>tuyển dụng</b> viên chức giáo dục huyện Gia Lâm năm 2023 ... Văn bản chỉ đạo của Huyện Ủy. UBND huyện Gia Lâm ký biên bản ghi nhớ xây dựng... (09/07/<b>2024</b>)&nbsp;...,http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc?...,http://gialam.hanoi.gov.vn/thong-tin-tuyen-dung-cong-chuc-vien-chuc?...,"[{'viewport': 'initial-scale=1.0, width=device-width'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7ap_JusCRoKprPi8J52MMSuWR2MzQtMGKDh_ngjpocTKPJLT8H21YpRuI&s', 'width': '183', 'height': '275'}]",[{'src': 'http://gialam.hanoi.gov.vn/documents/291387/291799/glam.jpg/60dd9938-ecfb-41bf-8a93-73e21651edac?t=1446781713587'}]
4,customsearch#result,Xã Bát Tràng: Trang chủ,Xã Bát Tràng: Trang chủ,https://battrang.gialam.hanoi.gov.vn/,battrang.gialam.hanoi.gov.vn,Công khai dự toán bổ sung năm 2024 (05/04/2024) · Công khai thực hiện dự ... Thông báo tuyển dụng công chức theo hình thức tiếp nhận không qua hình thức ...,Công khai dự toán bổ sung năm <b>2024</b> (05/04/<b>2024</b>) &middot; Công khai thực hiện dự ... Thông báo <b>tuyển dụng</b> công chức theo hình thức tiếp nhận không qua hình thức&nbsp;...,https://battrang.gialam.hanoi.gov.vn/,https://battrang.gialam.hanoi.gov.vn/,"[{'viewport': 'initial-scale=1.0, width=device-width'}]",,
5,customsearch#result,Xã Kiêu Kỵ: Trang chủ,Xã Kiêu Kỵ: Trang chủ,https://kieuky.gialam.hanoi.gov.vn/,kieuky.gialam.hanoi.gov.vn,... 2024). Ngày ... Thông báo tuyển dụng công chức theo hình thức tiếp nhận không qua hình thức ...,... <b>2024</b>). Ngày ... Thông báo <b>tuyển dụng</b> công chức theo hình thức tiếp nhận không qua hình thức&nbsp;...,https://kieuky.gialam.hanoi.gov.vn/,https://kieuky.gialam.hanoi.gov.vn/,"[{'viewport': 'initial-scale=1.0, width=device-width'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTwNe5XdShymFzDPL8beDKTFD3TiOeoMYtJvnJPfigUR-1ojrJ_d9d5tE&s', 'width': '335', 'height': '150'}]",[{'src': 'https://kieuky.gialam.hanoi.gov.vn/image/journal/article?img_id=459251&t=1722257179877'}]
6,customsearch#result,VĂN BẢN CHỈ ĐẠO CỦA UBND - Xã Cổ Bi,VĂN BẢN CHỈ ĐẠO CỦA UBND - Xã Cổ Bi,https://cobi.gialam.hanoi.gov.vn/van-ban-chi-dao-cua-ubnd,cobi.gialam.hanoi.gov.vn,"... 2024. Công khai danh mục thủ tục hành chính lĩnh vực văn hoá, thể dục ... Thông báo tuyển dụng công chức theo hình thức tiếp nhận không qua hình thức ...","... <b>2024</b>. Công khai danh mục thủ tục hành chính lĩnh vực văn hoá, thể dục ... Thông báo <b>tuyển dụng</b> công chức theo hình thức tiếp nhận không qua hình thức&nbsp;...",https://cobi.gialam.hanoi.gov.vn/van-ban-chi-dao-cua-ubnd,https://cobi.gialam.hanoi.gov.vn/van-ban-chi-dao-cua-ubnd,"[{'viewport': 'initial-scale=1.0, width=device-width'}]",,
7,customsearch#result,"Tại buổi gặp mặt, Đảng ủy, chính quyền cùng các ngành, đoàn thể ...","Tại buổi gặp mặt, Đảng ủy, chính quyền cùng các ngành, đoàn thể ...",https://trauquy.gialam.hanoi.gov.vn/tin-tuc-su-kien/view-content/-/view_content/540055-tai-buoi-gap-mat-dang-uy-chinh-quyen-cung-cac-nganh-doan-the-trong-thi-tran-da-to-chuc-tang-qua-dong-vien-va-phat-quan-trang-quan-dung-can-thiet-cho-t.html,trauquy.gialam.hanoi.gov.vn,"Feb 22, 2024 ... Theo đó, ngày 26/02/2024, 07 đồng chí tân binh thị trấn Trâu Quỳ được tuyển chọn sẽ cùng với tân binh trong toàn huyện lên đường nhập ngũ với ...","Feb 22, 2024 <b>...</b> Theo đó, ngày 26/02/<b>2024</b>, 07 đồng chí tân binh thị trấn Trâu Quỳ được <b>tuyển</b> chọn sẽ cùng với tân binh trong toàn huyện lên đường nhập ngũ với&nbsp;...",https://trauquy.gialam.hanoi.gov.vn/.../540055-tai-buoi-gap-mat-dang-uy-c...,https://trauquy.gialam.hanoi.gov.vn/.../540055-tai-buoi-gap-mat-dang-uy-c...,"[{'viewport': 'initial-scale=1.0, width=device-width'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRimoEQ_sr9j85Z3b1brGulrqqjA4ECrPUkxddEsSvA6IugHzHv83VCkdg&s', 'width': '272', 'height': '185'}]",[{'src': 'https://trauquy.gialam.hanoi.gov.vn/documents/535464/539846/QS+to%C3%A0n+c%E1%BA%A3nh+l%C6%B0u+ni%E1%BB%87m.jpg/2de76e2f-ad66-4d07-8c3f-5a8c102b1cc9?t=1708589591131'}]
8,customsearch#result,Công văn số 200/UBND- VP ngày 30/7/2021 của UBND huyện Gia ...,Công văn số 200/UBND- VP ngày 30/7/2021 của UBND huyện Gia ...,https://battrang.gialam.hanoi.gov.vn/van-ban-chi-dao-cua-huyen-uy/view-content/-/view_content/215552-cong-van-so-200-ubnd-vp-ngay-30-7-2021-cua-ubnd-huyen-gia-lam.html,battrang.gialam.hanoi.gov.vn,"Jul 30, 2021 ... ... 2024 · Kế hoạch thông tin, tuyên truyền về CCHC nhà nước năm 2024 ... Thông báo tuyển dụng công chức theo hình thức tiếp nhận không qua ...","Jul 30, 2021 <b>...</b> ... <b>2024</b> &middot; Kế hoạch thông tin, tuyên truyền về CCHC nhà nước năm <b>2024</b> ... Thông báo <b>tuyển dụng</b> công chức theo hình thức tiếp nhận không qua&nbsp;...",https://battrang.gialam.hanoi.gov.vn/.../215552-cong-van-so-200-ubnd-vp-...,https://battrang.gialam.hanoi.gov.vn/.../215552-cong-van-so-200-ubnd-vp-...,"[{'viewport': 'initial-scale=1.0, width=device-width'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcljZof6zov0CkYIXoIBcxcA87jZUPU06v4F7IaO21qSteHxTK7qYQ6Zpn&s', 'width': '188', 'height': '268'}]",[{'src': 'https://battrang.gialam.hanoi.gov.vn/documents/28275/193603/CV200_1.jpg/88cdfe68-0e64-4d58-9a2c-19ee10fb473d?t=1629433176147'}]
9,customsearch#result,Xã Đa Tốn: Trang chủ,Xã Đa Tốn: Trang chủ,https://daton.gialam.hanoi.gov.vn/,daton.gialam.hanoi.gov.vn,... 2024. CÔNG KHAI KẾ HOẠCH SỬ DỤNG ĐẤT HUYỆN GIA LÂM NĂM 2024 · Quyết định ban ... Thông báo tuyển dụng công chức theo hình thức tiếp nhận không qua hình ...,... <b>2024</b>. CÔNG KHAI KẾ HOẠCH SỬ DỤNG ĐẤT HUYỆN GIA LÂM NĂM <b>2024</b> &middot; Quyết định ban ... Thông báo <b>tuyển dụng</b> công chức theo hình thức tiếp nhận không qua hình&nbsp;...,https://daton.gialam.hanoi.gov.vn/,https://daton.gialam.hanoi.gov.vn/,"[{'viewport': 'initial-scale=1.0, width=device-width'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSslI8BvDynemoPlfqJFbL-sQW5BXMOSDwmGPRCAtuiHwO9J8uz4IkWPJo&s', 'width': '270', 'height': '172'}]",[{'src': 'https://daton.gialam.hanoi.gov.vn/image/journal/article?img_id=457277&t=1721964771085'}]
