,kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,pagemap.metatags,pagemap.cse_image,pagemap.cse_thumbnail,pagemap.breadcrumb,pagemap.imageobject,pagemap.organization,pagemap.blogposting
0,customsearch#result,"Cục Hồ sơ nghiệp vụ, Bộ Công an tuyển dụng cán bộ","Cục Hồ sơ nghiệp vụ, Bộ Công an <b>tuyển dụng</b> cán bộ",https://bocongan.gov.vn/tin-tuc-su-kien/cuc-ho-so-nghiep-vu-bo-cong-an-tuyen-dung-can-bo-d17-t39020.html,bocongan.gov.vn,"May 14, 2024 ... Thời gian, địa điểm nhận hồ sơ - Thời gian nhận hồ sơ dự tuyển từ ngày 10/5/2024 đến hết ngày 20/6/2024 (trong giờ hành chính). - Nộp hồ sơ ...","May 14, 2024 <b>...</b> Thời gian, địa điểm nhận hồ sơ - Thời gian nhận hồ sơ dự <b>tuyển</b> từ ngày 10/5/<b>2024</b> đến hết ngày 20/6/<b>2024</b> (trong giờ hành chính). - Nộp hồ sơ&nbsp;...",https://bocongan.gov.vn/.../cuc-ho-so-nghiep-vu-bo-cong-an-tuyen-dung-c...,https://bocongan.gov.vn/.../cuc-ho-so-nghiep-vu-bo-cong-an-tuyen-dung-c...,"[{'dc.publisher': 'https://mps.gov.vn', 'og:image': 'https://bocongan.gov.vn/knd/tt/PublishingImages/TrieuDuyThanh/thong-bao.jpg', 'twitter:title': 'Cục Hồ sơ nghiệp vụ, Bộ Công an tuyển dụng cán bộ', 'dc.description': 'Trang chủ, Home', 'copyright': 'Bộ Công an', 'twitter:url': 'https://bocongan.gov.vn/tin-tuc-su-kien/cuc-ho-so-nghiep-vu-bo-cong-an-tuyen-dung-can-bo-d17-t39020.html', 'author': 'Bộ Công an', 'og:title': 'Cục Hồ sơ nghiệp vụ, Bộ Công an tuyển dụng cán bộ', 'apple-mobile-web-app-title': 'mps.gov.vn', 'og:description': 'Để phục vụ nhu cầu công tác, Cục Hồ sơ nghiệp vụ, Bộ Công an thông báo tuyển chọn công dân vào Công an nhân dân.', 'twitter:image': 'https://bocongan.gov.vn/knd/tt/PublishingImages/TrieuDuyThanh/thong-bao.jpg', 'dc.created': '2017-12-01T00-00-00', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=yes', 'twitter:description': 'Để phục vụ nhu cầu công tác, Cục Hồ sơ nghiệp vụ, Bộ Công an thông báo tuyển chọn công dân vào Công an nhân dân.', 'dc.creator': 'Bộ Công An', 'apple-mobile-web-app-capable': 'yes', 'dc.identifier': 'https://mps.gov.vn', 'dc.subject': 'Trang chủ, Home', 'og:url': 'https://bocongan.gov.vn/tin-tuc-su-kien/cuc-ho-so-nghiep-vu-bo-cong-an-tuyen-dung-can-bo-d17-t39020.html', 'dc.language': 'vie', 'format-detection': 'telephone=no'}]",[{'src': 'https://bocongan.gov.vn/knd/tt/PublishingImages/TrieuDuyThanh/thong-bao.jpg'}],,,,,
1,customsearch#result,Hỏi đáp trực tuyến,Hỏi đáp trực tuyến,https://bocongan.gov.vn/hoi-dap/co-the-giam-dinh-do-vat-nghi-chua-ma-tuy-hay-khong-15902.html,bocongan.gov.vn,"... 2024); Đăng ký xe máy theo nơi tạm trú, thời hạn sử dụng của Giấy chứng nhận xác định thế nào? (14/06/2024); Điều kiện tuyển sinh Văn bằng 2 trong Công an ...","... <b>2024</b>); Đăng ký xe máy theo nơi tạm trú, thời hạn sử <b>dụng</b> của Giấy chứng nhận xác định thế nào? (14/06/<b>2024</b>); Điều kiện <b>tuyển</b> sinh Văn bằng 2 trong Công an&nbsp;...",https://bocongan.gov.vn/.../co-the-giam-dinh-do-vat-nghi-chua-ma-tuy-ha...,https://bocongan.gov.vn/.../co-the-giam-dinh-do-vat-nghi-chua-ma-tuy-ha...,"[{'dc.publisher': 'http://mps.gov.vn', 'twitter:title': 'Có thể giám định đồ vật nghi chứa ma túy hay không?', 'dc.description': 'Bộ Công an, Cổng thông tin điện tử Bộ với công dân', 'copyright': 'Bộ Công an', 'twitter:url': 'https://bocongan.gov.vn/hoi-dap/co-the-giam-dinh-do-vat-nghi-chua-ma-tuy-hay-khong-15902.html', 'author': 'Bộ Công an', 'og:title': 'Có thể giám định đồ vật nghi chứa ma túy hay không?', 'apple-mobile-web-app-title': 'mps.gov.vn', 'og:description': 'Có thể giám định đồ vật nghi chứa ma túy hay không?', 'dc.created': '2017-12-01T00-00-00', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=yes', 'twitter:description': 'Có thể giám định đồ vật nghi chứa ma túy hay không?', 'dc.creator': 'Bộ Công An', 'apple-mobile-web-app-capable': 'yes', 'dc.identifier': 'http://mps.gov.vn', 'dc.subject': 'Bộ Công an, Cổng thông tin điện tử Bộ với công dân', 'og:url': 'https://bocongan.gov.vn/hoi-dap/co-the-giam-dinh-do-vat-nghi-chua-ma-tuy-hay-khong-15902.html', 'dc.language': 'vie', 'format-detection': 'telephone=no'}]",,,,,,
2,customsearch#result,Hỏi đáp trực tuyến,Hỏi đáp trực tuyến,https://bocongan.gov.vn/hoi-dap/uong-ruou-bia-dat-xe-may-qua-chot-kiem-tra-nong-do-con-van-co-the-bi-xu-phat-theo-quy-dinh-13499.html,bocongan.gov.vn,"Và việc uống rượu bia dắt xe máy qua chốt kiểm tra nồng độ cồn có bị xử phạt không? Ngày hỏi: 15/03/2024 Lượt xem: 8133 ... Tuyển dụng và đào tạo · Trật tự, an ...","Và việc uống rượu bia dắt xe máy qua chốt kiểm tra nồng độ cồn có bị xử phạt không? Ngày hỏi: 15/03/<b>2024</b> Lượt xem: 8133 ... <b>Tuyển dụng</b> và đào tạo &middot; Trật tự, an&nbsp;...",https://bocongan.gov.vn/.../uong-ruou-bia-dat-xe-may-qua-chot-kiem-tra-n...,https://bocongan.gov.vn/.../uong-ruou-bia-dat-xe-may-qua-chot-kiem-tra-n...,"[{'dc.publisher': 'http://mps.gov.vn', 'twitter:title': 'Uống rượu bia dắt xe máy qua chốt kiểm tra nồng độ cồn vẫn có thể bị xử phạt theo quy định', 'dc.description': 'Bộ Công an, Cổng thông tin điện tử Bộ với công dân', 'copyright': 'Bộ Công an', 'twitter:url': 'https://bocongan.gov.vn/hoi-dap/uong-ruou-bia-dat-xe-may-qua-chot-kiem-tra-nong-do-con-van-co-the-bi-xu-phat-theo-quy-dinh-13499.html', 'author': 'Bộ Công an', 'og:title': 'Uống rượu bia dắt xe máy qua chốt kiểm tra nồng độ cồn vẫn có thể bị xử phạt theo quy định', 'apple-mobile-web-app-title': 'mps.gov.vn', 'og:description': 'Uống rượu bia dắt xe máy qua chốt kiểm tra nồng độ cồn vẫn có thể bị xử phạt theo quy định', 'dc.created': '2017-12-01T00-00-00', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=yes', 'twitter:description': 'Uống rượu bia dắt xe máy qua chốt kiểm tra nồng độ cồn vẫn có thể bị xử phạt theo quy định', 'dc.creator': 'Bộ Công An', 'apple-mobile-web-app-capable': 'yes', 'dc.identifier': 'http://mps.gov.vn', 'dc.subject': 'Bộ Công an, Cổng thông tin điện tử Bộ với công dân', 'og:url': 'https://bocongan.gov.vn/hoi-dap/uong-ruou-bia-dat-xe-may-qua-chot-kiem-tra-nong-do-con-van-co-the-bi-xu-phat-theo-quy-dinh-13499.html', 'dc.language': 'vie', 'format-detection': 'telephone=no'}]",,,,,,
3,customsearch#result,Thông báo tuyển sinh trình độ đại học chính quy tuyển mới năm 2024,Thông báo <b>tuyển</b> sinh trình độ đại học chính quy <b>tuyển</b> mới năm <b>2024</b>,https://dhkthc.bocongan.gov.vn/TrangChu/tin-tuc/861-thong-bao-tuyen-sinh-trinh-do-dai-hoc-chinh-quy-tuyen-moi-nam-2024.html,dhkthc.bocongan.gov.vn,"Apr 2, 2024 ... - Đối với thí sinh học THPT có môn ngoại ngữ là ngôn ngữ khác ngoài tiếng Anh (đăng ký các ngành sử dụng môn tiếng Anh để xét tuyển) hoặc tiếng ...","Apr 2, 2024 <b>...</b> - Đối với thí sinh học THPT có môn ngoại ngữ là ngôn ngữ khác ngoài tiếng Anh (đăng ký các ngành sử <b>dụng</b> môn tiếng Anh để xét <b>tuyển</b>) hoặc tiếng&nbsp;...",https://dhkthc.bocongan.gov.vn/.../861-thong-bao-tuyen-sinh-trinh-do-dai-...,https://dhkthc.bocongan.gov.vn/.../861-thong-bao-tuyen-sinh-trinh-do-dai-...,"[{'owner': 'T07, DH KT - HC CAND', 'og:type': 'article', 'copyright': '(c) 2022', 'viewport': 'width=device-width, initial-scale=1.0', 'author': 'T07, DH KT - HC CAND', 'og:url': 'https://dhkthc.bocongan.gov.vn/TrangChu/', 'title': 'Trường Đại học Kỹ thuật - Hậu cần CAND', 'og:description': 'Đại học Kỹ thuật - Hậu cần CAND'}]",[{'src': 'https://dhkthc.bocongan.gov.vn/TrangChu/media/15/images/Screenshot%202024-04-04%20160034.png'}],"[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQl4ozE-rWx3MN5D5a66zYjReohftd4vfyYFzkdH_akl_XvARvs7f0y08&s', 'width': '420', 'height': '120'}]",,,,
4,customsearch#result,THÔNG BÁO: Kế hoạch tuyển sinh trình độ đại học các loại hình đào ...,THÔNG BÁO: Kế hoạch <b>tuyển</b> sinh trình độ đại học các loại hình đào ...,https://daihocpccc.bocongan.gov.vn/2024/06/12/thong-bao-ke-hoach-tuyen-sinh-trinh-do-dai-hoc-cac-loai-hinh-dao-tao-can-bo-cong-an-nhan-dan-nam-hoc-2024-2025/,daihocpccc.bocongan.gov.vn,"Jun 12, 2024 ... Căn cứ Hướng dẫn số 05/HD-BCA-X02 ngày 26 tháng 3 năm 2024 của Bộ Công an về tuyển sinh Công an nhân dân năm 2024; ... dụng với cán bộ dự tuyển ...","Jun 12, 2024 <b>...</b> Căn cứ Hướng dẫn số 05/HD-BCA-X02 ngày 26 tháng 3 năm <b>2024</b> của Bộ Công an về <b>tuyển</b> sinh Công an nhân dân năm <b>2024</b>; ... <b>dụng</b> với cán bộ dự <b>tuyển</b>&nbsp;...",https://daihocpccc.bocongan.gov.vn/2024/.../thong-bao-ke-hoach-tuyen-si...,https://daihocpccc.bocongan.gov.vn/<b>2024</b>/.../thong-bao-ke-hoach-tuyen-si...,"[{'theme-color': '#9c1010', 'viewport': 'width=device-width, initial-scale=1', 'msapplication-tileimage': 'https://daihocpccc.edu.vn/wp-content/uploads/2020/02/icon.png'}]",,,"[{'title': 'Home', 'url': 'Home'}, {'title': 'Thông báo & tuyển sinh', 'url': 'Thông báo & tuyển sinh'}]",[{'url': 'https://daihocpccc.edu.vn/wp-content/uploads/2020/05/logoN.png'}],[{'name': 'Chúng tôi là lính cứu hỏa'}],"[{'articlebody': 'Căn cứ Thông tư số 50/2021/TT-BCA ngày 11 tháng 5 năm 2021 của Bộ trưởng Bộ Công an về việc ban hành Quy định về tuyển sinh trong Công an nhân dân; Căn cứ...', 'datemodified': '2024-06-12T10:56:19+07:00', 'name': 'THÔNG BÁO: Kế hoạch tuyển sinh trình độ đại học các loại hình đào tạo cán bộ Công an nhân dân năm học 2024 – 2025', 'headline': 'THÔNG BÁO: Kế hoạch tuyển sinh trình độ đại học các loại hình đào tạo cán bộ Công an nhân dân năm học 2024 – 2025', 'datepublished': '12/06/2024 10:53'}]"
5,customsearch#result,Hướng dẫn cách để thoát nạn an toàn và xác định đường lối thoát ...,Hướng dẫn cách để thoát nạn an toàn và xác định đường lối thoát ...,https://bocongan.gov.vn/hoi-dap/huong-dan-cach-de-thoat-nan-an-toan-va-xac-dinh-duong-loi-thoat-nan-khi-co-chay-xay-ra-15265.html,bocongan.gov.vn,"... 2024, gây thiệt hại lớn về người và tài sản. Tôi rất lo lắng và mong ... Tuyển dụng và đào tạo · Trật tự, an toàn giao thông · Các lĩnh vực khác. Câu hỏi ...","... <b>2024</b>, gây thiệt hại lớn về người và tài sản. Tôi rất lo lắng và mong ... <b>Tuyển dụng</b> và đào tạo &middot; Trật tự, an toàn giao thông &middot; Các lĩnh vực khác. Câu hỏi&nbsp;...",https://bocongan.gov.vn/.../huong-dan-cach-de-thoat-nan-an-toan-va-xac-d...,https://bocongan.gov.vn/.../huong-dan-cach-de-thoat-nan-an-toan-va-xac-d...,"[{'dc.publisher': 'http://mps.gov.vn', 'twitter:title': 'Hướng dẫn cách để thoát nạn an toàn và xác định đường lối thoát nạn khi có cháy xảy ra', 'dc.description': 'Bộ Công an, Cổng thông tin điện tử Bộ với công dân', 'copyright': 'Bộ Công an', 'twitter:url': 'https://bocongan.gov.vn/hoi-dap/huong-dan-cach-de-thoat-nan-an-toan-va-xac-dinh-duong-loi-thoat-nan-khi-co-chay-xay-ra-15265.html', 'author': 'Bộ Công an', 'og:title': 'Hướng dẫn cách để thoát nạn an toàn và xác định đường lối thoát nạn khi có cháy xảy ra', 'apple-mobile-web-app-title': 'mps.gov.vn', 'og:description': 'Hướng dẫn cách để thoát nạn an toàn và xác định đường lối thoát nạn khi có cháy xảy ra', 'dc.created': '2017-12-01T00-00-00', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=yes', 'twitter:description': 'Hướng dẫn cách để thoát nạn an toàn và xác định đường lối thoát nạn khi có cháy xảy ra', 'dc.creator': 'Bộ Công An', 'apple-mobile-web-app-capable': 'yes', 'dc.identifier': 'http://mps.gov.vn', 'dc.subject': 'Bộ Công an, Cổng thông tin điện tử Bộ với công dân', 'og:url': 'https://bocongan.gov.vn/hoi-dap/huong-dan-cach-de-thoat-nan-an-toan-va-xac-dinh-duong-loi-thoat-nan-khi-co-chay-xay-ra-15265.html', 'dc.language': 'vie', 'format-detection': 'telephone=no'}]",,,,,,
6,customsearch#result,Hỏi đáp trực tuyến,Hỏi đáp trực tuyến,https://bocongan.gov.vn/hoi-dap/quy-dinh-cua-phap-luat-va-khuyen-cao-ve-tac-hai-cua-thuoc-la-dien-tu-15075.html,bocongan.gov.vn,"(10/05/2024); Đầu mối tiếp nhận thông tin, hình ảnh về hành vi vi phạm ... Tuyển dụng và đào tạo · Trật tự, an toàn giao thông · Các lĩnh vực khác. Câu hỏi ...","(10/05/<b>2024</b>); Đầu mối tiếp nhận thông tin, hình ảnh về hành vi vi phạm ... <b>Tuyển dụng</b> và đào tạo &middot; Trật tự, an toàn giao thông &middot; Các lĩnh vực khác. Câu hỏi&nbsp;...",https://bocongan.gov.vn/.../quy-dinh-cua-phap-luat-va-khuyen-cao-ve-tac-...,https://bocongan.gov.vn/.../quy-dinh-cua-phap-luat-va-khuyen-cao-ve-tac-...,"[{'dc.publisher': 'http://mps.gov.vn', 'twitter:title': 'Quy định của pháp luật và khuyến cáo về tác hại của thuốc lá điện tử', 'dc.description': 'Bộ Công an, Cổng thông tin điện tử Bộ với công dân', 'copyright': 'Bộ Công an', 'twitter:url': 'https://bocongan.gov.vn/hoi-dap/quy-dinh-cua-phap-luat-va-khuyen-cao-ve-tac-hai-cua-thuoc-la-dien-tu-15075.html', 'author': 'Bộ Công an', 'og:title': 'Quy định của pháp luật và khuyến cáo về tác hại của thuốc lá điện tử', 'apple-mobile-web-app-title': 'mps.gov.vn', 'og:description': 'Quy định của pháp luật và khuyến cáo về tác hại của thuốc lá điện tử', 'dc.created': '2017-12-01T00-00-00', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=yes', 'twitter:description': 'Quy định của pháp luật và khuyến cáo về tác hại của thuốc lá điện tử', 'dc.creator': 'Bộ Công An', 'apple-mobile-web-app-capable': 'yes', 'dc.identifier': 'http://mps.gov.vn', 'dc.subject': 'Bộ Công an, Cổng thông tin điện tử Bộ với công dân', 'og:url': 'https://bocongan.gov.vn/hoi-dap/quy-dinh-cua-phap-luat-va-khuyen-cao-ve-tac-hai-cua-thuoc-la-dien-tu-15075.html', 'dc.language': 'vie', 'format-detection': 'telephone=no'}]",,,,,,
7,customsearch#result,Hướng dẫn cách tải và cài đặt ứng dụng VNeID trên điện thoại,Hướng dẫn cách tải và cài đặt ứng <b>dụng</b> VNeID trên điện thoại,https://bocongan.gov.vn/hoi-dap/huong-dan-cach-tai-va-cai-dat-ung-dung-vneid-tren-dien-thoai-16272.html,bocongan.gov.vn,"(05/07/2024); Công an xã bán chuyên trách tiếp tục tham gia Lực lượng ... Tuyển dụng và đào tạo · Trật tự, an toàn giao thông · Các lĩnh vực khác. Câu hỏi ...","(05/07/<b>2024</b>); Công an xã bán chuyên trách tiếp tục tham gia Lực lượng ... <b>Tuyển dụng</b> và đào tạo &middot; Trật tự, an toàn giao thông &middot; Các lĩnh vực khác. Câu hỏi&nbsp;...",https://bocongan.gov.vn/.../huong-dan-cach-tai-va-cai-dat-ung-dung-vneid...,https://bocongan.gov.vn/.../huong-dan-cach-tai-va-cai-dat-ung-dung-vneid...,"[{'dc.publisher': 'http://mps.gov.vn', 'twitter:title': 'Hướng dẫn cách tải và cài đặt ứng dụng VNeID trên điện thoại', 'dc.description': 'Bộ Công an, Cổng thông tin điện tử Bộ với công dân', 'copyright': 'Bộ Công an', 'twitter:url': 'https://bocongan.gov.vn/hoi-dap/huong-dan-cach-tai-va-cai-dat-ung-dung-vneid-tren-dien-thoai-16272.html', 'author': 'Bộ Công an', 'og:title': 'Hướng dẫn cách tải và cài đặt ứng dụng VNeID trên điện thoại', 'apple-mobile-web-app-title': 'mps.gov.vn', 'og:description': 'Hướng dẫn cách tải và cài đặt ứng dụng VNeID trên điện thoại', 'dc.created': '2017-12-01T00-00-00', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=yes', 'twitter:description': 'Hướng dẫn cách tải và cài đặt ứng dụng VNeID trên điện thoại', 'dc.creator': 'Bộ Công An', 'apple-mobile-web-app-capable': 'yes', 'dc.identifier': 'http://mps.gov.vn', 'dc.subject': 'Bộ Công an, Cổng thông tin điện tử Bộ với công dân', 'og:url': 'https://bocongan.gov.vn/hoi-dap/huong-dan-cach-tai-va-cai-dat-ung-dung-vneid-tren-dien-thoai-16272.html', 'dc.language': 'vie', 'format-detection': 'telephone=no'}]",,,,,,
8,customsearch#result,THÔNG BÁO: Tuyển sinh (tuyển mới) đại học chính quy CAND đối ...,THÔNG BÁO: <b>Tuyển</b> sinh (<b>tuyển</b> mới) đại học chính quy CAND đối ...,https://daihocpccc.bocongan.gov.vn/2024/04/07/thong-bao-tuyen-sinh-tuyen-moi-dai-hoc-chinh-quy-cand-doi-voi-cong-dan-co-bang-tot-nghiep-trinh-do-dai-hoc-tro-len-nam-2024/,daihocpccc.bocongan.gov.vn,"Apr 7, 2024 ... trúng tuyển, sau khi học viên tốt nghiệp sẽ áp dụng việc xếp ... tuyển sinh đại học chính quy tuyển mới năm 2024 · 05/07/2024 · Một số ...","Apr 7, 2024 <b>...</b> trúng <b>tuyển</b>, sau khi học viên tốt nghiệp sẽ áp <b>dụng</b> việc xếp ... <b>tuyển</b> sinh đại học chính quy <b>tuyển</b> mới năm <b>2024</b> &middot; 05/07/<b>2024</b> &middot; Một số&nbsp;...",https://daihocpccc.bocongan.gov.vn/2024/.../thong-bao-tuyen-sinh-tuyen-...,https://daihocpccc.bocongan.gov.vn/<b>2024</b>/.../thong-bao-tuyen-sinh-tuyen-...,"[{'theme-color': '#9c1010', 'viewport': 'width=device-width, initial-scale=1', 'msapplication-tileimage': 'https://daihocpccc.edu.vn/wp-content/uploads/2020/02/icon.png'}]",,,"[{'title': 'Home', 'url': 'Home'}, {'title': 'Thông báo & tuyển sinh', 'url': 'Thông báo & tuyển sinh'}, {'title': 'TUYỂN SINH', 'url': 'TUYỂN SINH'}]",[{'url': 'https://daihocpccc.edu.vn/wp-content/uploads/2020/05/logoN.png'}],[{'name': 'Chúng tôi là lính cứu hỏa'}],"[{'articlebody': 'Căn cứ Thông tư 50/2021/TT-BCA ngày 11 tháng 5 năm 2021 của Bộ Công an quy định về tuyển sinh trong Công an nhân dân; Hướng dẫn số 05/HD-BCA-X02 ngày 26 tháng...', 'datemodified': '2024-05-19T22:22:22+07:00', 'name': 'THÔNG BÁO: Tuyển sinh (tuyển mới) đại học chính quy CAND đối với công dân có bằng tốt nghiệp trình độ đại học trở lên năm 2024', 'headline': 'THÔNG BÁO: Tuyển sinh (tuyển mới) đại học chính quy CAND đối với công dân có bằng tốt nghiệp trình độ đại học trở lên năm 2024', 'datepublished': '07/04/2024 22:50'}]"
9,customsearch#result,Đề án tuyển sinh trình độ đại học năm 2024 | Học viện Chính trị ...,Đề án <b>tuyển</b> sinh trình độ đại học năm <b>2024</b> | Học viện Chính trị ...,https://hvctcand.bocongan.gov.vn/thong-bao/de-an-tuyen-sinh-trinh-do-dai-hoc-nam-2024-6164,hvctcand.bocongan.gov.vn,"Apr 9, 2024 ... - Đối tượng: áp dụng với những thí sinh tốt nghiệp THPT hoặc tương đương trong năm 2024. Giải thưởng theo quy định của Bộ Giáo dục và Đào tạo và ...","Apr 9, 2024 <b>...</b> - Đối tượng: áp <b>dụng</b> với những thí sinh tốt nghiệp THPT hoặc tương đương trong năm <b>2024</b>. Giải thưởng theo quy định của Bộ Giáo dục và Đào tạo và&nbsp;...",https://hvctcand.bocongan.gov.vn/.../de-an-tuyen-sinh-trinh-do-dai-hoc-na...,https://hvctcand.bocongan.gov.vn/.../de-an-tuyen-sinh-trinh-do-dai-hoc-na...,"[{'og:image': 'https://hvctcand.bocongan.gov.vn:8446/Uploads/2024/4/3/9/thong-báo-tuyển-sinh-mz7bmqs9rc961ggj0bq6qzin0um8cs14q9hvs430x260-430x260-430x260-430x260-430x260-300x200-430x260-430x260.jpg', 'og:type': 'article', 'og:image:width': '430', 'twitter:card': 'summary', 'twitter:title': 'Đề án tuyển sinh trình độ đại học năm 2024 | Học viện Chính trị Công an Nhân dân', 'author': 'Copyright(c) 2017 Acomm(http://www.acomm.com.vn)', 'og:title': 'Đề án tuyển sinh trình độ đại học năm 2024 | Học viện Chính trị Công an Nhân dân', 'og:image:height': '260', 'og:description': 'Học viện Chính trị Công an Nhân dân', 'twitter:image': 'https://hvctcand.bocongan.gov.vn:8446/Uploads/2024/4/3/9/thong-báo-tuyển-sinh-mz7bmqs9rc961ggj0bq6qzin0um8cs14q9hvs430x260-430x260-430x260-430x260-430x260-300x200-430x260-430x260.jpg', 'twitter:site': '@SoYteNamDinh', 'viewport': 'initial-scale=1, minimum-scale=1, width=device-width', 'twitter:description': 'Học viện Chính trị Công an Nhân dân', 'og:url': 'https://hvctcand.bocongan.gov.vn/thong-bao/de-an-tuyen-sinh-trinh-do-dai-hoc-nam-2024-6164'}]",[{'src': 'https://hvctcand.bocongan.gov.vn:8446/Uploads/2024/4/3/9/thong-báo-tuyển-sinh-mz7bmqs9rc961ggj0bq6qzin0um8cs14q9hvs430x260-430x260-430x260-430x260-430x260-300x200-430x260-430x260.jpg'}],,,,,
