,kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,pagemap.metatags,pagemap.cse_thumbnail,pagemap.cse_image
0,customsearch#result,Thông báo mới,Thông báo mới,https://www.mpi.gov.vn/portal/Pages/Thong-bao-moi-825.aspx,www.mpi.gov.vn,"Thông báo tổ chức thi phỏng vấn Vòng 2 kỳ tuyển dụng công chức năm 2023 ... Quy định, điều khoản của Ứng dụng MPI eGI 04/06/2024 | 17:33:00. Công khai ...","Thông báo tổ chức thi phỏng vấn Vòng 2 kỳ <b>tuyển dụng</b> công chức năm 2023 ... Quy định, điều khoản của Ứng dụng MPI eGI 04/06/<b>2024</b> | 17:33:00. Công khai&nbsp;...",https://www.mpi.gov.vn/portal/Pages/Thong-bao-moi-825.aspx,https://www.mpi.gov.vn/portal/Pages/Thong-bao-moi-825.aspx,"[{'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'progid': 'SharePoint.WebPartPage.Document'}]",,
1,customsearch#result,Thông báo về việc tuyển dụng công chức năm 2023 của Bộ Kế ...,Thông báo về việc <b>tuyển dụng</b> công chức năm 2023 của Bộ Kế ...,https://www.mpi.gov.vn/portal/Pages/2023-12-12/Thong-bao-ve-viec-tuyen-dung-cong-chuc-nam-2023-cuhdz404.aspx,www.mpi.gov.vn,"Dec 12, 2023 ... Ghi rõ nguồn ""Cổng thông tin điện tử Bộ Kế hoạch và Đầu tư (www.mpi.gov.vn)"" khi trích dẫn lại tin từ địa chỉ này.","Dec 12, 2023 <b>...</b> Ghi rõ nguồn &quot;Cổng thông tin điện tử Bộ Kế hoạch và Đầu tư (www.mpi.gov.vn)&quot; khi trích dẫn lại tin từ địa chỉ này.",https://www.mpi.gov.vn/.../Thong-bao-ve-viec-tuyen-dung-cong-chuc-na...,https://www.mpi.gov.vn/.../Thong-bao-ve-viec-tuyen-dung-cong-chuc-na...,"[{'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'progid': 'SharePoint.WebPartPage.Document'}]",,
2,customsearch#result,Quyết định phê duyệt kết quả xét tuyển và danh sách người trúng ...,Quyết định phê duyệt kết quả xét <b>tuyển</b> và danh sách người trúng ...,https://www.mpi.gov.vn/portal/Pages/2024-5-24/Quyet-dinh-phe-duyet-ket-qua-xet-tuyen-va-danh-sacg6fm9h.aspx,www.mpi.gov.vn,Quyết định phê duyệt kết quả xét tuyển và danh sách người trúng tuyển kỳ tuyển dụng công chức năm 2023 của Bộ Kế hoạch và Đầu tư (Xem tin ảnh) (Xem tin ...,Quyết định phê duyệt kết quả xét tuyển và danh sách người trúng tuyển kỳ <b>tuyển dụng</b> công chức năm 2023 của Bộ Kế hoạch và Đầu tư (Xem tin ảnh) (Xem tin&nbsp;...,https://www.mpi.gov.vn/.../2024.../Quyet-dinh-phe-duyet-ket-qua-xet-tuye...,https://www.mpi.gov.vn/.../<b>2024</b>.../Quyet-dinh-phe-duyet-ket-qua-xet-tuye...,"[{'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'progid': 'SharePoint.WebPartPage.Document'}]",,
3,customsearch#result,Thông báo Kết quả xét tuyển vòng 2 và Danh sách trúng tuyển kỳ ...,Thông báo Kết quả xét <b>tuyển</b> vòng 2 và Danh sách trúng <b>tuyển</b> kỳ ...,https://www.mpi.gov.vn/portal/Pages/2024-5-24/Thong-bao-Ket-qua-xet-tuyen-vong-2-va-Danh-sach-tr8upwct.aspx,www.mpi.gov.vn,Thông báo Kết quả xét tuyển vòng 2 và Danh sách trúng tuyển kỳ tuyển dụng công chức Bộ Kế hoạch và Đầu tư năm 2023 (Xem tin ảnh) (Xem tin video). Ngày 24/05 ...,Thông báo Kết quả xét tuyển vòng 2 và Danh sách trúng tuyển kỳ <b>tuyển dụng</b> công chức Bộ Kế hoạch và Đầu tư năm 2023 (Xem tin ảnh) (Xem tin video). Ngày 24/05&nbsp;...,https://www.mpi.gov.vn/.../2024.../Thong-bao-Ket-qua-xet-tuyen-vong-2-...,https://www.mpi.gov.vn/.../<b>2024</b>.../Thong-bao-Ket-qua-xet-tuyen-vong-2-...,"[{'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'progid': 'SharePoint.WebPartPage.Document'}]",,
4,customsearch#result,Thông báo tổ chức thi phỏng vấn Vòng 2 kỳ tuyển dụng công chức ...,Thông báo tổ chức thi phỏng vấn Vòng 2 kỳ <b>tuyển dụng</b> công chức ...,https://www.mpi.gov.vn/portal/Pages/2024-5-13/Thong-bao-to-chuc-thi-phong-van-Vong-2-ky-tuyen-duk9tvbr.aspx,www.mpi.gov.vn,"May 13, 2024 ... Thông báo số 38/TB-HĐXTCC ngày 13/5/2024 của Hội đồng xét tuyển công chức năm 2023 của Bộ Kế hoạch và Đầu tư. Nội dung chi tiết xem file đính ...","May 13, 2024 <b>...</b> Thông báo số 38/TB-HĐXTCC ngày 13/5/<b>2024</b> của Hội đồng xét <b>tuyển</b> công chức năm 2023 của Bộ Kế hoạch và Đầu tư. Nội dung chi tiết xem file đính&nbsp;...",https://www.mpi.gov.vn/.../2024.../Thong-bao-to-chuc-thi-phong-van-Von...,https://www.mpi.gov.vn/.../<b>2024</b>.../Thong-bao-to-chuc-thi-phong-van-Von...,"[{'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'progid': 'SharePoint.WebPartPage.Document'}]",,
6,customsearch#result,Thông báo nội dung và tài liệu ôn tập vòng 2 Kỳ tuyển dụng công ...,Thông báo nội dung và tài liệu ôn tập vòng 2 Kỳ <b>tuyển dụng</b> công ...,https://www.mpi.gov.vn/portal/Pages/2024-5-11/Thong-bao-noi-dung-va-tai-lieu-on-tap-vong-2-Ky-tuk3lxur.aspx,www.mpi.gov.vn,"May 10, 2024 ... Thông báo số 36/TB-HĐXTCC ngày 10/5/2024 của Hội đồng xét tuyển công chức năm 2023 của Bộ Kế hoạch và Đầu tư. Bộ Kế hoạch và Đầu tư ...","May 10, 2024 <b>...</b> Thông báo số 36/TB-HĐXTCC ngày 10/5/<b>2024</b> của Hội đồng xét <b>tuyển</b> công chức năm 2023 của Bộ Kế hoạch và Đầu tư. Bộ Kế hoạch và Đầu tư&nbsp;...",https://www.mpi.gov.vn/.../2024.../Thong-bao-noi-dung-va-tai-lieu-on-tap-...,https://www.mpi.gov.vn/.../<b>2024</b>.../Thong-bao-noi-dung-va-tai-lieu-on-tap-...,"[{'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'progid': 'SharePoint.WebPartPage.Document'}]",,
8,customsearch#result,Cổng thông tin điện tử Bộ Kế hoạch và Đầu tư,Cổng thông tin điện tử Bộ Kế hoạch và Đầu tư,https://www.mpi.gov.vn/portal/_layouts/15/Authenticate.aspx?Source=%2Fportal%2FPages%2Fdefault%2Easpx%3FReturnUrl%3D%252Fportal%252F%255Flayouts%252F15%252FAuthenticate%252Easpx%253FSource%253D%25252Fportal%25252FPages%25252F2024%25252D6%25252D14%25252FBo%25252Dtruong%25252DNguyen%25252DChi%25252DDung%25252Dtiep%25252DDai%25252Dsu%25252DMalaysia%25252Dtaibcnnfq%25252Easpx%26Source%3D%252Fportal%252FPages%252F2024%252D6%252D14%252FBo%252Dtruong%252DNguyen%252DChi%252DDung%252Dtiep%252DDai%252Dsu%252DMalaysia%252Dtaibcnnfq%252Easpx,www.mpi.gov.vn,"Jul 4, 2024 ... ... 2024 (14/05/2024). Thông báo tổ chức thi phỏng vấn Vòng 2 kỳ tuyển dụng công chức năm 2023 (13/05/2024). Xem tiếp · Hệ thống thông tin giải ...","Jul 4, 2024 <b>...</b> ... <b>2024</b> (14/05/<b>2024</b>). Thông báo tổ chức thi phỏng vấn Vòng 2 kỳ <b>tuyển dụng</b> công chức năm 2023 (13/05/<b>2024</b>). Xem tiếp &middot; Hệ thống thông tin giải&nbsp;...",https://www.mpi.gov.vn/.../Authenticate.aspx?...%2Fportal%2FPages%2Fde...,https://www.mpi.gov.vn/.../Authenticate.aspx?...%2Fportal%2FPages%2Fde...,"[{'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'progid': 'SharePoint.WebPartPage.Document'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8qkQMauXHNSsXZZtfUGxJKkM0T09bxIyS3doMtFauKsiqhl-nRV7bl_k&s', 'width': '275', 'height': '183'}]",[{'src': 'https://fileportalcms.mpi.gov.vn/TinBai/Photos/2024-07-04/162448005.JPG'}]
11,customsearch#result,List,List,https://fia.mpi.gov.vn/List/MenuID/b1955dd6-0f44-41b1-9634-94483aad89f4/CatID/6d662978-2830-47eb-a1b7-2d6fb1f29abf,fia.mpi.gov.vn,"... 2024 xây dựng dự thảo Nghị định về việc thành lập, quản lý và sử dụng ... Tuyển dụng nhân viên cho dự án hỗ trợ doanh nghiệp tỉnh Niigata – Nhật Bản ...","... <b>2024</b> xây dựng dự thảo Nghị định về việc thành lập, quản lý và sử dụng ... <b>Tuyển dụng</b> nhân viên cho dự án hỗ trợ doanh nghiệp tỉnh Niigata – Nhật Bản&nbsp;...",https://fia.mpi.gov.vn/List/.../6d662978-2830-47eb-a1b7-2d6fb1f29abf,https://fia.mpi.gov.vn/List/.../6d662978-2830-47eb-a1b7-2d6fb1f29abf,"[{'viewport': 'width=device-width,initial-scale=1'}]",,
12,customsearch#result,Thông báo triệu tập ứng viên dự thi vòng 2 kỳ thi tuyển công chức ...,Thông báo triệu tập ứng viên dự thi vòng 2 kỳ thi <b>tuyển</b> công chức ...,https://www.mpi.gov.vn/portal/Pages/2024-1-29/Thong-bao-trieu-tap-ung-vien-du-thi-vong-2-ky-thi-zr5x48.aspx,www.mpi.gov.vn,Hệ thống ứng dụng. Nền tảng quản trị số tổng thể · Quản lý văn bản và hồ sơ công ... Ngày 26/01/2024 - 16:14:00 | 1894 lượt xem. Xem cỡ chữ. Tương phản chữ.,Hệ thống ứng <b>dụng</b>. Nền tảng quản trị số tổng thể &middot; Quản lý văn bản và hồ sơ công ... Ngày 26/01/<b>2024</b> - 16:14:00 | 1894 lượt xem. Xem cỡ chữ. Tương phản chữ.,https://www.mpi.gov.vn/.../2024.../Thong-bao-trieu-tap-ung-vien-du-thi-v...,https://www.mpi.gov.vn/.../<b>2024</b>.../Thong-bao-trieu-tap-ung-vien-du-thi-v...,"[{'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'progid': 'SharePoint.WebPartPage.Document'}]",,
13,customsearch#result,"Xây dựng Thông tư hướng dẫn về đăng ký tổ hợp tác, hợp tác xã ...","Xây dựng Thông tư hướng dẫn về đăng ký tổ hợp tác, hợp tác xã ...",https://www.mpi.gov.vn/portal/Pages/2024-1-29/Xay-dung-Thong-tu-huong-dan-ve-dang-ky-to-hop-tac-97c8ps.aspx,www.mpi.gov.vn,"Jan 24, 2024 ... Lễ Công bố và trao Quyết định tuyển dụng công chức năm 2023 · Trang ... 2024. Sự thay đổi về khung pháp lý trong đăng ký tổ hợp tác, hợp ...","Jan 24, 2024 <b>...</b> Lễ Công bố và trao Quyết định <b>tuyển dụng</b> công chức năm 2023 &middot; Trang ... <b>2024</b>. Sự thay đổi về khung pháp lý trong đăng ký tổ hợp tác, hợp&nbsp;...",https://www.mpi.gov.vn/.../2024.../Xay-dung-Thong-tu-huong-dan-ve-dan...,https://www.mpi.gov.vn/.../<b>2024</b>.../Xay-dung-Thong-tu-huong-dan-ve-dan...,"[{'og:image': 'https://fileportalcms.mpi.gov.vn/TinBai/Photos/2024-01-29/144859105.JPG', 'og:type': 'article', 'viewport': 'width=device-width, initial-scale=1', 'progid': 'SharePoint.WebPartPage.Document'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQv-vw2Y5lFsQkdDvkD83IJyUmjdS_9ezAUfT3EZu452DYdKU9ROIg9hfzO&s', 'width': '197', 'height': '255'}]",[{'src': 'https://fileportalcms.mpi.gov.vn/TinBai/Photos/2024-01-29/144859105.JPG'}]
