,kind,title,htmlTitle,link,displayLink,snippet,htmlSnippet,formattedUrl,htmlFormattedUrl,pagemap.metatags,pagemap.cse_thumbnail,pagemap.cse_image,mime,fileFormat
0,customsearch#result,Bộ Tài chính thông báo về kế hoạch thi tuyển dụng công chức Cơ ...,Bộ Tài chính thông báo về kế hoạch thi <b>tuyển dụng</b> công chức Cơ ...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM310849,www.mof.gov.vn,Bộ Tài chính thông báo về kế hoạch thi tuyển dụng công chức Cơ quan Bộ Tài chính 03/05/2024 14:32:00 11090. Cỡ chữ:A- A+. Đọc báo. Tương phản:Giảm Tăng ...,Bộ Tài chính thông báo về kế hoạch thi <b>tuyển dụng</b> công chức Cơ quan Bộ Tài chính 03/05/<b>2024</b> 14:32:00 11090. Cỡ chữ:A- A+. Đọc báo. Tương phản:Giảm Tăng&nbsp;...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
1,customsearch#result,Tuyển dụng,<b>Tuyển dụng</b>,http://portal.mof.gov.vn/webcenter/portal/btcvn/pages_r/cddh/tuyen-dung,portal.mof.gov.vn,"... 2024. 31/07/2024. Bộ Tài chính thông báo Kết quả thi Vòng 2 và danh sách trúng tuyển, Kỳ tuyển dụng công chức Cơ quan Bộ Tài chính năm 2024. 30/07/2024. Quyết ...","... <b>2024</b>. 31/07/<b>2024</b>. Bộ Tài chính thông báo Kết quả thi Vòng 2 và danh sách trúng tuyển, Kỳ <b>tuyển dụng</b> công chức Cơ quan Bộ Tài chính năm <b>2024</b>. 30/07/<b>2024</b>. Quyết&nbsp;...",http://portal.mof.gov.vn/webcenter/portal/btcvn/pages_r/.../tuyen-dung,http://portal.mof.gov.vn/webcenter/portal/btcvn/pages_r/.../tuyen-dung,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
2,customsearch#result,Cổng TTĐT Kho Bạc Nhà Nước VN,Cổng TTĐT Kho Bạc Nhà Nước VN,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?dDocName=KBNN214995,vst.mof.gov.vn,Thông báo về việc tuyển dụng công chức Kho bạc Nhà nước năm 2024. 14/03/2024 09:00:49 Cỡ chữ:A-A+ Tương phản:Giảm Tăng. In bài. Thumbnails Document Outline,Thông báo về việc <b>tuyển dụng</b> công chức Kho bạc Nhà nước năm <b>2024</b>. 14/03/<b>2024</b> 09:00:49 Cỡ chữ:A-A+ Tương phản:Giảm Tăng. In bài. Thumbnails Document Outline,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...,[{'og:url': 'http://vst.mof.gov.vn:80/webcenter/portal/kbnn/r/l/cm21001?dDocName=KBNN214995&dID=226130'}],,,,
3,customsearch#result,Bộ Tài chính - Kho bạc Nhà nước thông báo tuyển dụng công chức ...,Bộ Tài chính - Kho bạc Nhà nước thông báo <b>tuyển dụng</b> công chức ...,http://mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM305598,mof.gov.vn,Bộ Tài chính - Kho bạc Nhà nước thông báo tuyển dụng công chức KBNN năm 2024 14/03/2024 10:43:00 11427. Cỡ chữ:A- A+. Đọc báo. Tương phản:Giảm Tăng ...,Bộ Tài chính - Kho bạc Nhà nước thông báo <b>tuyển dụng</b> công chức KBNN năm <b>2024</b> 14/03/<b>2024</b> 10:43:00 11427. Cỡ chữ:A- A+. Đọc báo. Tương phản:Giảm Tăng&nbsp;...,http://mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?...,http://mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
5,customsearch#result,Bộ Tài chính - Ủy ban Chứng khoán NN thông báo tuyển dụng công ...,Bộ Tài chính - Ủy ban Chứng khoán NN thông báo <b>tuyển dụng</b> công ...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM303999,www.mof.gov.vn,Bộ Tài chính - Ủy ban Chứng khoán NN thông báo tuyển dụng công chức năm 2024 28/02/2024 09:57:00 4752. Cỡ chữ:A- A+. Đọc báo. Tương phản:Giảm Tăng ...,Bộ Tài chính - Ủy ban Chứng khoán NN thông báo <b>tuyển dụng</b> công chức năm <b>2024</b> 28/02/<b>2024</b> 09:57:00 4752. Cỡ chữ:A- A+. Đọc báo. Tương phản:Giảm Tăng&nbsp;...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
6,customsearch#result,Tin bộ tài chính,Tin bộ tài chính,http://www.mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM317339,www.mof.gov.vn,Bộ Tài chính - Tổng cục Dự trữ NN thông báo tuyển dụng công chức Tổng cục Dự trữ Nhà nước năm 2024 20/06/2024 14:25:00 2073. Cỡ chữ:A- A+. Đọc báo.,Bộ Tài chính - Tổng cục Dự trữ NN thông báo <b>tuyển dụng</b> công chức Tổng cục Dự trữ Nhà nước năm <b>2024</b> 20/06/<b>2024</b> 14:25:00 2073. Cỡ chữ:A- A+. Đọc báo.,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
7,customsearch#result,Tin bộ tài chính,Tin bộ tài chính,https://www.mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM319262,www.mof.gov.vn,"Bộ Tài chính thông báo Danh sách thí sinh dự thi Vòng 1, Kỳ tuyển dụng công chức Cơ quan Bộ Tài chính năm 2024 03/07/2024 22:00:00 3041. Cỡ chữ:A- A+.","Bộ Tài chính thông báo Danh sách thí sinh dự thi Vòng 1, Kỳ <b>tuyển dụng</b> công chức Cơ quan Bộ Tài chính năm <b>2024</b> 03/07/<b>2024</b> 22:00:00 3041. Cỡ chữ:A- A+.",https://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,https://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
8,customsearch#result,"Bộ Tài chính thông báo danh sách thí sinh dự thi Vòng 1, Kỳ tuyển ...","Bộ Tài chính thông báo danh sách thí sinh dự thi Vòng 1, Kỳ <b>tuyển</b> ...",http://www.mof.gov.vn/webcenter/portal/btcvn/pages_r/l/tin-bo-tai-chinh?dDocName=MOFUCM288849,www.mof.gov.vn,... 2024 (28/08/2023 10:08) · Bộ Tài chính - Cục quản lý giá thông báo kết quả ... Tuyển dụng · Đảng bộ Bộ Tài chính · Công khai ngân sách Bộ tài chính · Thông tin ...,... <b>2024</b> (28/08/2023 10:08) &middot; Bộ Tài chính - Cục quản lý giá thông báo kết quả ... <b>Tuyển dụng</b> &middot; Đảng bộ Bộ Tài chính &middot; Công khai ngân sách Bộ tài chính &middot; Thông tin&nbsp;...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,http://www.mof.gov.vn/webcenter/portal/btcvn/pages.../tin-bo-tai-chinh?...,"[{'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes'}]",,,,
9,customsearch#result,Ủy ban Chứng khoán Nhà nước: Trang chủ,Ủy ban Chứng khoán Nhà nước: Trang chủ,http://ssc.mof.gov.vn/,ssc.mof.gov.vn,"30/07/2024. Lễ trao Quyết định tuyển dụng công chức UBCKNN năm 2024. 29/07/2024. Lễ công bố và trao Quyết định điều động, bổ nhiệm công chức giữ chức vụ lãnh ...","30/07/<b>2024</b>. Lễ trao Quyết định <b>tuyển dụng</b> công chức UBCKNN năm <b>2024</b>. 29/07/<b>2024</b>. Lễ công bố và trao Quyết định điều động, bổ nhiệm công chức giữ chức vụ lãnh&nbsp;...",http://ssc.mof.gov.vn/,http://ssc.mof.gov.vn/,"[{'og:image': 'https://ssc.gov.vn/webcenter/oracle/webcenter/siteresources/scopedMD/shared/img/UBCK/no.png', 'og:type': 'article', 'og:image:width': '600', 'twitter:card': 'summary_large_image', 'og:site_name': 'ssc.gov.vn', 'author': 'ssc.gov.vn', 'og:title': 'CỔNG THÔNG TIN ĐIỆN TỬ - ỦY BAN CHỨNG KHOÁN NHÀ NƯỚC', 'og:image:height': '315', 'rating': 'GENERAL', 'site_path': 'https://ssc.gov.vn.vn', 'og:image:type': 'image/jpg', 'distribution': 'Global', 'og:description': 'CỔNG THÔNG TIN ĐIỆN TỬ - ỦY BAN CHỨNG KHOÁN NHÀ NƯỚC - Thông tin chứng khoán của Việt Nam mới nhất được cập nhật liên tục, chính xác và đầy đủ,chuyên sâu', 'twitter:image': 'https://ssc.gov.vn/webcenter/oracle/webcenter/siteresources/scopedMD/shared/img/UBCK/no.png', 'news_keywords': 'kinh tế,tài chính,chứng khoán,vnindex,hnx-index,upcom,hose,cập nhật,thông tin,chính xác,liên tục', 'viewport': 'width=device-width, initial-scale=1', 'apple-mobile-web-app-capable': 'yes', 'og:url': 'https://ssc.gov.vn/'}]","[{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHzu1mQ2TPC_hCPPw2bpk-45ib7CpSTpTxS4RIEFzuNTwizP3aeE-HopS0&s', 'width': '193', 'height': '261'}]",[{'src': 'https://ssc.gov.vn/webcenter/oracle/webcenter/siteresources/scopedMD/shared/img/UBCK/no.png'}],,
10,customsearch#result,Cổng TTĐT Kho Bạc Nhà Nước VN,Cổng TTĐT Kho Bạc Nhà Nước VN,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?dDocName=KBNN216814&dID=229368,vst.mof.gov.vn,KBNN thông báo Danh sách thí sinh đủ điều kiện dự thi vòng 1 Kỳ thi tuyển dụng công chức KBNN năm 2024. 24/06/2024 11:03:13 Cỡ chữ:A-A+ Tương phản:Giảm Tăng.,KBNN thông báo Danh sách thí sinh đủ điều kiện dự thi vòng 1 Kỳ thi <b>tuyển dụng</b> công chức KBNN năm <b>2024</b>. 24/06/<b>2024</b> 11:03:13 Cỡ chữ:A-A+ Tương phản:Giảm Tăng.,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...dID...,https://vst.mof.gov.vn/webcenter/portal/kbnn/r/o/tb/tb_chitiet?...dID...,[{'og:url': 'http://vst.mof.gov.vn:80/webcenter/portal/kbnn/r/l/cm21001?dDocName=KBNN216814&dID=229368'}],,,,
